criterion,feature,coef,abs_coef,odds_ratio_per_sd
data_identification,newline_per_1k_chars,-0.476879907940192,0.476879907940192,0.620717068008849
data_identification,type_token_ratio,0.42107078283858956,0.42107078283858956,1.5235921187671047
data_identification,is_nn_outlier,-0.35581935683755783,0.35581935683755783,0.7005991672541586
data_identification,comma_per_1k_chars,0.3230819549272579,0.3230819549272579,1.3813785570458244
data_identification,dash_per_1k_chars,-0.19586990249491398,0.19586990249491398,0.8221191833757969
data_identification,is_literature_outlier,0.19089811633232243,0.19089811633232243,1.2103361323149882
data_identification,nn_dist,0.15394942645811707,0.15394942645811707,1.1664318946944527
data_identification,hedge_rate,0.15178633292552413,0.15178633292552413,1.163911520292344
data_identification,raw_novelty,-0.1419115443927113,0.1419115443927113,0.8676980058454586
data_identification,novelty_z,-0.14191130507469302,0.14191130507469302,0.8676982135012508
data_identification,n_chars,0.09082687277867589,0.09082687277867589,1.0950794007923033
data_identification,stopword_rate,0.08230417237707688,0.08230417237707688,1.0857860257221674
data_identification,fk_grade_level,-0.07955609718740504,0.07955609718740504,0.9235262112925111
data_identification,n_words,-0.06985884359492159,0.06985884359492159,0.9325254425551549
data_identification,flesch_reading_ease,0.0644427887162163,0.0644427887162163,1.0665645569715703
data_identification,avg_sent_len_words,-0.05829943989389969,0.05829943989389969,0.9433674232982696
data_identification,centroid_dist,0.045318628476167695,0.045318628476167695,1.0463612072759103
data_identification,n_sents,-0.03596936050411587,0.03596936050411587,0.9646698500282214
data_identification,paren_per_1k_chars,-0.034413158281380946,0.034413158281380946,0.9661722401012232
data_identification,avg_word_len,0.018324992590653854,0.018324992590653854,1.0184939255883043
data_identification,semicolon_per_1k_chars,0.0,0.0,1.0
data_identification,colon_per_1k_chars,0.0,0.0,1.0
data_identification,quote_per_1k_chars,0.0,0.0,1.0
data_identification,bullet_per_1k_chars,0.0,0.0,1.0
novelty_and_significance,nn_dist,-1.1849628593523547,1.1849628593523547,0.3057575353207134
novelty_and_significance,centroid_dist,1.0608732146823756,1.0608732146823756,2.8888925115494866
novelty_and_significance,newline_per_1k_chars,-0.8778975557186707,0.8778975557186707,0.415655887011669
novelty_and_significance,avg_sent_len_words,0.8514885092479105,0.8514885092479105,2.34313203111916
novelty_and_significance,n_words,0.7911397058807345,0.7911397058807345,2.2059090816926386
novelty_and_significance,type_token_ratio,0.7050205749024342,0.7050205749024342,2.0238883257988087
novelty_and_significance,is_literature_outlier,0.5551135373970385,0.5551135373970385,1.7421387714471608
novelty_and_significance,paren_per_1k_chars,-0.5270135467696426,0.5270135467696426,0.5903654383616947
novelty_and_significance,is_nn_outlier,-0.43925162004249424,0.43925162004249424,0.6445185854311469
novelty_and_significance,stopword_rate,-0.4088694740007767,0.4088694740007767,0.664400948260408
novelty_and_significance,flesch_reading_ease,0.3610644923752328,0.3610644923752328,1.434855995165891
novelty_and_significance,n_sents,-0.3375707620160461,0.3375707620160461,0.7135014841166476
novelty_and_significance,novelty_z,-0.31695824024378794,0.31695824024378794,0.7283611706755461
novelty_and_significance,raw_novelty,-0.31695818146753246,0.31695818146753246,0.7283612134858896
novelty_and_significance,n_chars,0.3061997517590959,0.3061997517590959,1.3582535929965172
novelty_and_significance,avg_word_len,-0.12074829736739978,0.12074829736739978,0.8862570047424264
novelty_and_significance,comma_per_1k_chars,-0.11262158460001792,0.11262158460001792,0.8934887060371648
novelty_and_significance,fk_grade_level,-0.07579719472970674,0.07579719472970674,0.9270041888319192
novelty_and_significance,hedge_rate,-0.021373400054657824,0.021373400054657824,0.9788533924111469
novelty_and_significance,dash_per_1k_chars,-0.002805763962592551,0.002805763962592551,0.9971981685143871
novelty_and_significance,semicolon_per_1k_chars,0.0,0.0,1.0
novelty_and_significance,colon_per_1k_chars,0.0,0.0,1.0
novelty_and_significance,quote_per_1k_chars,0.0,0.0,1.0
novelty_and_significance,bullet_per_1k_chars,0.0,0.0,1.0
open_science_commitment,type_token_ratio,1.2021894661492623,1.2021894661492623,3.3273941700867224
open_science_commitment,flesch_reading_ease,0.7499135625996614,0.7499135625996614,2.1168170365429964
open_science_commitment,avg_word_len,0.672641976673964,0.672641976673964,1.9594071963908637
open_science_commitment,n_chars,0.6168801348237856,0.6168801348237856,1.853137474574989
open_science_commitment,n_words,0.5909913999093493,0.5909913999093493,1.805777776188853
open_science_commitment,dash_per_1k_chars,-0.5716213622312615,0.5716213622312615,0.5646092600418537
open_science_commitment,fk_grade_level,-0.555279892371729,0.555279892371729,0.5739116052339439
open_science_commitment,avg_sent_len_words,0.501493112015998,0.501493112015998,1.6511848349714642
open_science_commitment,centroid_dist,-0.3889021592482993,0.3889021592482993,0.6778005832884201
open_science_commitment,comma_per_1k_chars,0.3432452838212519,0.3432452838212519,1.4095144506193535
open_science_commitment,is_literature_outlier,-0.33374538403153514,0.33374538403153514,0.7162361241670429
open_science_commitment,n_sents,0.27199773179858666,0.27199773179858666,1.3125840241027933
open_science_commitment,novelty_z,0.1649588598076126,0.1649588598076126,1.1793445992496432
open_science_commitment,raw_novelty,0.1649585840603294,0.1649585840603294,1.1793442740486189
open_science_commitment,nn_dist,0.1100629629138107,0.1100629629138107,1.1163483567915033
open_science_commitment,is_nn_outlier,-0.10627074953053228,0.10627074953053228,0.8991811622380339
open_science_commitment,stopword_rate,-0.0754839185127973,0.0754839185127973,0.9272946426910232
open_science_commitment,newline_per_1k_chars,0.07321967742507593,0.07321967742507593,1.0759668765874233
open_science_commitment,paren_per_1k_chars,0.07059941879744876,0.07059941879744876,1.073151255534629
open_science_commitment,hedge_rate,-0.040547178062068395,0.040547178062068395,0.9602638600547415
open_science_commitment,semicolon_per_1k_chars,0.0,0.0,1.0
open_science_commitment,colon_per_1k_chars,0.0,0.0,1.0
open_science_commitment,quote_per_1k_chars,0.0,0.0,1.0
open_science_commitment,bullet_per_1k_chars,0.0,0.0,1.0
relevance_to_emergent_phenomena,nn_dist,-1.5335986785601208,1.5335986785601208,0.21575782549333308
relevance_to_emergent_phenomena,type_token_ratio,1.4308364264616293,1.4308364264616293,4.182195828638441
relevance_to_emergent_phenomena,dash_per_1k_chars,-1.1642027644611306,1.1642027644611306,0.3121714370171509
relevance_to_emergent_phenomena,stopword_rate,-1.0177355268931998,1.0177355268931998,0.36141242295210607
relevance_to_emergent_phenomena,is_nn_outlier,0.9608773613182671,0.9608773613182671,2.613988880371494
relevance_to_emergent_phenomena,avg_sent_len_words,0.9199648155219098,0.9199648155219098,2.5092021034167176
relevance_to_emergent_phenomena,n_words,0.8549536756052183,0.8549536756052183,2.351265457102743
relevance_to_emergent_phenomena,comma_per_1k_chars,-0.4185955706362222,0.4185955706362222,0.6579702439523869
