,mean_pairwise_distance,nearest_neighbor_distance,literature_element_novelty_k1,literature_mean_knn_novelty_k10,literature_local_density_normalized_novelty
mean_pairwise_distance,1.0,0.9866897380357749,0.022046647166370673,0.09355386031404987,0.09355386031404987
nearest_neighbor_distance,0.9866897380357749,1.0,0.03735525112263355,0.10049903431571433,0.10049903431571425
literature_element_novelty_k1,0.022046647166370673,0.03735525112263355,1.0,0.9728988857738806,0.9728988857738806
literature_mean_knn_novelty_k10,0.09355386031404987,0.10049903431571433,0.9728988857738806,1.0,1.0
literature_local_density_normalized_novelty,0.09355386031404987,0.10049903431571425,0.9728988857738806,1.0,1.0
