,mean_pairwise_distance,nearest_neighbor_distance,literature_element_novelty_k1,literature_mean_knn_novelty_k10,literature_local_density_normalized_novelty
mean_pairwise_distance,1.0,0.9589669520705942,0.7971829341020502,0.8242763109764265,0.8242763109764263
nearest_neighbor_distance,0.9589669520705942,1.0,0.7443848005006967,0.7577584066105556,0.7577584066105548
literature_element_novelty_k1,0.7971829341020502,0.7443848005006967,1.0,0.9852018149064008,0.9852018149063996
literature_mean_knn_novelty_k10,0.8242763109764265,0.7577584066105556,0.9852018149064008,1.0,1.0000000000000002
literature_local_density_normalized_novelty,0.8242763109764263,0.7577584066105548,0.9852018149063996,1.0000000000000002,1.0
