condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial,field_branch
baseline,all_ai,All AI,centroid_loo,exploratory,all_proposals,23,0.04867287714479512,0.060757536114679385,-0.012084658969884256,-0.008650879993550728,1.2482832262809136,19.0,7.319450378417969e-05,-0.8260869565217391,strengths
baseline,all_ai,All AI,global_centroid_dist,exploratory,all_proposals,23,0.02511587659195185,0.03093841284725649,-0.005822536255304646,-0.004817266647531848,1.2318269176864174,22.0,0.0001277923583984375,-0.8260869565217391,strengths
baseline,all_ai,All AI,mean_pairwise,confirmatory,all_proposals,23,0.06865084525467692,0.08479891739029816,-0.016148072135621222,-0.012433919168653954,1.2352202959150183,22.0,0.0001277923583984375,-0.8260869565217391,strengths
baseline,all_ai,All AI,medoid_dist,exploratory,all_proposals,23,0.044175863827484244,0.053850142871277776,-0.009674279043793522,-0.010002702234428881,1.2189946773100706,19.0,7.319450378417969e-05,-0.7391304347826086,strengths
baseline,all_ai,All AI,mst_dispersion,exploratory,all_proposals,23,0.059608940628991615,0.07313413747971058,-0.01352519685071895,-0.010848236942757036,1.2268987958517887,19.0,7.319450378417969e-05,-0.7391304347826086,strengths
baseline,all_ai,All AI,nn,confirmatory,all_proposals,23,0.05699612278005351,0.06972002021905907,-0.01272389743900556,-0.009666000093732557,1.2232414560566993,19.0,7.319450378417969e-05,-0.7391304347826086,strengths
baseline,all_ai,All AI,remote_clique,compatibility,all_proposals,23,0.06865084525467692,0.08479891739029816,-0.016148072135621222,-0.012433919168653954,1.2352202959150183,22.0,0.0001277923583984375,-0.8260869565217391,strengths
baseline,all_ai,All AI,span90,exploratory,all_proposals,23,0.030047960200446276,0.03731172831153462,-0.007263768111088321,-0.005309205540493099,1.2417391417797625,29.0,0.00040793418884277344,-0.7391304347826086,strengths
baseline,all_ai,All AI,sparseness,exploratory,all_proposals,23,0.02511587659195185,0.03093841284725649,-0.005822536255304646,-0.004817266647531848,1.2318269176864174,22.0,0.0001277923583984375,-0.8260869565217391,strengths
baseline,claude,Claude,centroid_loo,exploratory,all_proposals,23,0.04867287714479512,0.06403673195974323,-0.0153638548149481,-0.015535547738044692,1.3156553652919007,19.0,7.319450378417969e-05,-0.7391304347826086,strengths
