proposal_uid,mesh_term
y1::11,Cell Membrane
y1::11,Cell Movement
y1::11,"Cells, Cultured"
y1::11,Collagen
y1::11,Compressive Strength
y1::11,Computational Biology
y1::11,Cytokines
y1::11,"DNA, Viral"
y1::11,DNA-Binding Proteins
y1::11,"Databases, Protein"
y1::11,"Drug Resistance, Neoplasm"
y1::11,Embryonic Stem Cells
y1::11,Epithelial-Mesenchymal Transition
y1::11,Escherichia coli
y1::11,Escherichia coli Proteins
y1::11,Eukaryota
y1::11,"Evolution, Molecular"
y1::11,Gene Expression Profiling
y1::11,Gene Expression Regulation
y1::11,"Gene Expression Regulation, Neoplastic"
y1::11,Gene Regulatory Networks
y1::11,Genome
y1::11,Genome-Wide Association Study
y1::11,HEK293 Cells
y1::11,Head and Neck Neoplasms
y1::11,Herpes Simplex
y1::11,"Herpesvirus 1, Human"
y1::11,"Herpesvirus 8, Human"
y1::11,Hippocampus
y1::11,Humans
y1::11,Immediate-Early Proteins
y1::11,Lung Neoplasms
y1::11,Membrane Lipids
y1::11,Membrane Proteins
y1::11,Metallothionein
y1::11,Mice
y1::11,"Mice, Inbred C57BL"
y1::11,"Mice, Knockout"
y1::11,Microscopy
y1::11,"Models, Biological"
y1::11,"Models, Molecular"
y1::11,Molecular Sequence Annotation
y1::11,"Mossy Fibers, Hippocampal"
y1::11,Mutation
y1::11,Nanostructures
y1::11,Nuclear Proteins
y1::11,Nucleic Acid Conformation
y1::11,Open Reading Frames
y1::11,Phosphoproteins
y1::11,Prokaryotic Cells
y1::11,"Promoter Regions, Genetic"
y1::11,Protein Biosynthesis
y1::11,Protein Conformation
y1::11,Protein Domains
y1::11,Protein Engineering
y1::11,Protein Isoforms
y1::11,Proteins
y1::11,Proteolysis
y1::11,Proteome
y1::11,Proteomics
y1::11,Pyramidal Cells
y1::11,RNA Folding
y1::11,"RNA, Bacterial"
y1::11,"Receptors, Antigen, T-Cell"
y1::11,Recombinant Fusion Proteins
y1::11,Recombinant Proteins
y1::11,"Repetitive Sequences, Amino Acid"
y1::11,Reproducibility of Results
y1::11,Retrospective Studies
y1::11,Ribosomes
y1::11,Riboswitch
y1::11,"Sarcoma, Kaposi"
y1::11,Signal Recognition Particle
y1::11,Signal Transduction
y1::11,Single-Cell Analysis
y1::11,Skin Neoplasms
y1::11,Snails
y1::11,Software
y1::11,Squamous Cell Carcinoma of Head and Neck
y1::11,"Stress, Mechanical"
y1::11,T-Lymphocytes
y1::11,Transcription Factors
y1::11,"Transcription Termination, Genetic"
y1::11,"Transcription, Genetic"
y1::11,Trypsin
y1::11,Ubiquitin-Protein Ligases
y1::11,Viral Proteins
y1::11,Virus Latency
y1::12,"Adaptation, Physiological"
y1::12,Adenocarcinoma
y1::12,Adenocarcinoma of Lung
y1::12,Aging
y1::12,Algorithms
y1::12,Alzheimer Disease
y1::12,Aneuploidy
y1::12,Animals
y1::12,"Antineoplastic Agents, Phytogenic"
y1::12,Apoptosis
y1::12,Atherosclerosis
y1::12,Autophagy
y1::12,Biological Evolution
y1::12,Biological Transport
y1::12,Biology
y1::12,Brazil
y1::12,Bromodomain Containing Proteins
y1::12,COVID-19
y1::12,Cancer-Associated Fibroblasts
y1::12,"Carcinoma, Pancreatic Ductal"
y1::12,Cell Culture Techniques
y1::12,Cell Cycle
y1::12,Cell Cycle Proteins
y1::12,Cell Division
y1::12,"Cell Line, Tumor"
y1::12,Cell Plasticity
y1::12,Cell Proliferation
y1::12,"Cell Transformation, Neoplastic"
y1::12,Cellular Senescence
y1::12,"Cleavage Stage, Ovum"
y1::12,Computational Biology
y1::12,Computer Simulation
y1::12,Diffusion
y1::12,Drug Discovery
y1::12,Embryonic Development
y1::12,"Epigenesis, Genetic"
y1::12,Exercise
y1::12,Fibroblasts
y1::12,Flavonoids
y1::12,Gene Expression Profiling
y1::12,"Gene Expression Regulation, Developmental"
y1::12,Gene Regulatory Networks
y1::12,Genomic Instability
y1::12,Genomics
y1::12,Humans
y1::12,Hypertension
y1::12,Information Dissemination
y1::12,Intervertebral Disc Degeneration
y1::12,Karyotyping
y1::12,Lab-On-A-Chip Devices
y1::12,Logistic Models
y1::12,Lung Neoplasms
y1::12,Lysosomes
y1::12,Machine Learning
y1::12,Mammals
y1::12,Metabolic Networks and Pathways
y1::12,Microfluidics
y1::12,"Models, Biological"
y1::12,Multiple Sclerosis
y1::12,"Muscle, Skeletal"
y1::12,Mutation
y1::12,Myocardium
y1::12,Myrtaceae
y1::12,NADPH Oxidase 2
y1::12,NADPH Oxidase 4
y1::12,Neoplasms
y1::12,"Neoplasms, Experimental"
y1::12,Neoplastic Stem Cells
y1::12,Nonlinear Dynamics
y1::12,Osteoporosis
y1::12,Pancreas
y1::12,Pancreatic Neoplasms
y1::12,Pandemics
y1::12,Phenotype
y1::12,Phytochemicals
y1::12,Polyploidy
y1::12,Propiophenones
y1::12,Proteasome Endopeptidase Complex
y1::12,Proteolysis
y1::12,Proteomics
y1::12,Pulmonary Fibrosis
y1::12,Reactive Oxygen Species
y1::12,Reproducibility of Results
y1::12,Research
y1::12,Research Design
y1::12,SARS-CoV-2
y1::12,Sepsis
y1::12,Sewage
y1::12,Signal Transduction
y1::12,"Spheroids, Cellular"
y1::12,Spindle Apparatus
y1::12,Systems Biology
y1::12,Tendons
y1::12,Transcription Factors
y1::12,Transcriptome
y1::12,Tumor Microenvironment
y1::12,Vascular Malformations
y1::12,Veins
y1::12,Vertebrates
y1::12,Wastewater
y1::12,Yeasts
y1::2,Acetaminophen
y1::2,Adenocarcinoma
y1::2,Aging
y1::2,Alzheimer Disease
y1::2,Animals
y1::2,Annexin A2
y1::2,Anti-Bacterial Agents
y1::2,Antineoplastic Agents
y1::2,Apoptosis
y1::2,Arabidopsis
y1::2,Arabidopsis Proteins
y1::2,Arthritis
y1::2,Atherosclerosis
y1::2,Autoimmunity
y1::2,Autophagy
y1::2,Basic Helix-Loop-Helix Proteins
y1::2,Biocompatible Materials
y1::2,Biofilms
y1::2,Biomarkers
y1::2,Breast Neoplasms
y1::2,Bromodomain Containing Proteins
y1::2,"Carcinoma, Non-Small-Cell Lung"
y1::2,"Carcinoma, Squamous Cell"
y1::2,Cell Compartmentation
y1::2,Cell Cycle
y1::2,Cell Cycle Checkpoints
y1::2,Cell Cycle Proteins
y1::2,Cell Hypoxia
y1::2,Cell Lineage
y1::2,Cell Membrane
y1::2,Cell Movement
y1::2,Cell Nucleus
y1::2,Cell Proliferation
y1::2,Cellular Senescence
y1::2,Chemical and Drug Induced Liver Injury
y1::2,Child
y1::2,"Chromosomes, Fungal"
y1::2,Congenital Abnormalities
y1::2,"DNA Breaks, Double-Stranded"
y1::2,"Diagnosis, Differential"
y1::2,Dimethylpolysiloxanes
y1::2,"Disease Models, Animal"
y1::2,"Drug Resistance, Neoplasm"
y1::2,Endonucleases
y1::2,Environmental Pollutants
y1::2,"Epigenesis, Genetic"
y1::2,Exodeoxyribonucleases
y1::2,Female
y1::2,Fund Raising
y1::2,Gene Deletion
y1::2,"Gene Expression Regulation, Viral"
y1::2,"Genes, Tumor Suppressor"
y1::2,Genetic Counseling
y1::2,Genomic Instability
y1::2,Health Policy
y1::2,Hepatocyte Growth Factor
y1::2,Hepatocytes
y1::2,"Herpesvirus 8, Human"
y1::2,High-Throughput Nucleotide Sequencing
y1::2,Humans
y1::2,Hydrophobic and Hydrophilic Interactions
y1::2,Hypertension
y1::2,Hypoxia
y1::2,"Hypoxia-Inducible Factor 1, alpha Subunit"
y1::2,"Immunity, Innate"
y1::2,Infant
y1::2,"Infertility, Male"
y1::2,Inflammation
y1::2,Inflammatory Bowel Diseases
y1::2,Interdisciplinary Research
y1::2,Intersectoral Collaboration
y1::2,Intervertebral Disc Degeneration
y1::2,Intestinal Mucosa
y1::2,Ischemia
y1::2,Liver
y1::2,"Liver Failure, Acute"
y1::2,Liver Regeneration
y1::2,Lung Neoplasms
y1::2,Macrophages
y1::2,Male
y1::2,Materials Testing
y1::2,Mesenteric Ischemia
y1::2,Mice
y1::2,"Mice, Inbred C57BL"
y1::2,"Mice, Transgenic"
y1::2,Microbial Sensitivity Tests
y1::2,Microbial Viability
y1::2,"Models, Biological"
y1::2,Molecular Targeted Therapy
y1::2,Necrosis
y1::2,Neoplasms
y1::2,Neuroimmunomodulation
y1::2,Oxygen
y1::2,Pain
y1::2,Particle Size
y1::2,Phenotype
y1::2,Proteome
y1::2,Proteomics
y1::2,Pseudomonas aeruginosa
y1::2,Pulmonary Fibrosis
y1::2,"RNA, Messenger"
y1::2,RNA-Binding Proteins
y1::2,Reactive Oxygen Species
y1::2,Regenerative Medicine
y1::2,Reperfusion Injury
y1::2,Repressor Proteins
y1::2,Ribosomes
y1::2,Saccharomyces cerevisiae
y1::2,Saccharomyces cerevisiae Proteins
y1::2,Seedlings
y1::2,Semen
y1::2,Semen Analysis
y1::2,Signal Transduction
y1::2,Single-Cell Gene Expression Analysis
y1::2,Small Cell Lung Carcinoma
y1::2,Staphylococcus epidermidis
y1::2,Superoxide Dismutase
y1::2,Superoxide Dismutase-1
y1::2,Surface Properties
y1::2,Synovial Membrane
y1::2,Telomere
y1::2,Telomere-Binding Proteins
y1::2,Transcription Factors
y1::2,Trehalose
y1::2,Tumor Microenvironment
y1::2,Ubiquitin Thiolesterase
y1::2,United States
y1::2,Vascular Diseases
y1::2,Virus Replication
y1::2,Wound Healing
y1::3,Academies and Institutes
y1::3,Algorithms
y1::3,Animals
y1::3,Anti-Bacterial Agents
y1::3,Antineoplastic Agents
y1::3,Artificial Intelligence
y1::3,Bacteria
y1::3,Biological Ontologies
y1::3,Biomedical Research
y1::3,"Cells, Cultured"
y1::3,"Chromatography, Liquid"
y1::3,Cluster Analysis
y1::3,Computational Biology
y1::3,Computer Graphics
y1::3,Data Analysis
y1::3,Data Curation
y1::3,"Data Interpretation, Statistical"
y1::3,Data Management
y1::3,"Databases, Chemical"
y1::3,"Databases, Factual"
y1::3,"Databases, Genetic"
y1::3,Drug Repositioning
y1::3,"Drug Resistance, Bacterial"
y1::3,"Drug Resistance, Microbial"
y1::3,Extracellular Vesicles
y1::3,Gene Expression
y1::3,Gene Expression Regulation
y1::3,Gene Ontology
y1::3,"Genome, Plant"
y1::3,Genomics
y1::3,High-Throughput Nucleotide Sequencing
y1::3,Host Microbial Interactions
y1::3,Host-Pathogen Interactions
y1::3,Humans
y1::3,Internet
y1::3,Kinetics
y1::3,Lipopolysaccharides
y1::3,Magnetic Resonance Spectroscopy
y1::3,Mass Spectrometry
y1::3,Metabolomics
y1::3,Mice
y1::3,Microbiology
y1::3,"Models, Biological"
y1::3,Molecular Sequence Annotation
y1::3,NF-kappa B
y1::3,Necroptosis
y1::3,Neoplasms
y1::3,Neutrophils
y1::3,Oligonucleotide Array Sequence Analysis
y1::3,Pain
y1::3,Peptide Fragments
y1::3,Peptide Mapping
y1::3,Phenotype
y1::3,Proteome
y1::3,Quality Control
y1::3,RNA
y1::3,Signal Transduction
y1::3,Software
y1::3,Systems Biology
y1::3,Tandem Mass Spectrometry
y1::3,Time Factors
y1::3,Transcriptome
y1::3,User-Computer Interface
y1::3,Virus Diseases
y1::3,Virus Physiological Phenomena
y1::3,Viruses
y1::3,Web Browser
y1::3,Whole Genome Sequencing
y1::4,Adenocarcinoma
y1::4,Aging
y1::4,Alzheimer Disease
y1::4,Animals
y1::4,Anti-Bacterial Agents
y1::4,Antiviral Agents
y1::4,Apoptosis
y1::4,Artificial Intelligence
