group_1,group_2,chamfer_distance
Human,Claude,0.07427464425563812
Human,Gemini,0.07018925249576569
Human,GPT,0.07727887481451035
Claude,Gemini,0.05901772156357765
Claude,GPT,0.06205212324857712
Gemini,GPT,0.05869624763727188
