condition,metric,effect_human_minus_ai,permutation_p_value,analysis_family
baseline,mean_pairwise_distance,-0.09860655068565892,0.3084691530846915,proposal_space_diversity
baseline,nearest_neighbor_distance,-0.0002472452495409158,0.9975002499750025,proposal_space_diversity
baseline,grid_entropy,0.6165387149350119,0.0734926507349265,proposal_space_diversity
baseline,mst_dispersion,-0.008545471544571734,0.995000499950005,proposal_space_diversity
one_at_a_time,mean_pairwise_distance,0.03134923405835012,9.999000099990002e-05,proposal_space_diversity
one_at_a_time,nearest_neighbor_distance,0.020953580953072808,9.999000099990002e-05,proposal_space_diversity
one_at_a_time,grid_entropy,-0.048306255803064246,0.9973002699730027,proposal_space_diversity
one_at_a_time,mst_dispersion,0.02127331750278167,9.999000099990002e-05,proposal_space_diversity
persona,mean_pairwise_distance,0.014905032749500495,9.999000099990002e-05,proposal_space_diversity
persona,nearest_neighbor_distance,0.013750002004098198,9.999000099990002e-05,proposal_space_diversity
persona,grid_entropy,-0.794682428069259,0.5916408359164084,proposal_space_diversity
persona,mst_dispersion,0.013171266903851762,9.999000099990002e-05,proposal_space_diversity
