proposal_uid,source_type,source_group,lda_topic,lda_topic_prob_0,lda_topic_prob_1,lda_topic_prob_2,lda_topic_prob_3,lda_topic_prob_4,condition
y1::1,human,Human,2,0.493105778900677,0.0029266605844829,0.4981417216624724,0.0029078273482711,0.0029180115040965,baseline
y1::10,human,Human,3,0.0022855693890796,0.0022773945312955,0.0022738916541255,0.9908765818464582,0.0022865625790409,baseline
y1::11,human,Human,0,0.9908726128966516,0.0022862162712318,0.002264798866325,0.0022765140379204,0.0022998579278709,baseline
y1::12,human,Human,1,0.0025395934564224,0.9898937450843316,0.0025140538149922,0.002526266584551,0.0025263410597028,baseline
y1::2,human,Human,2,0.0020194229217384,0.0020054340562286,0.991943555144881,0.0020191217861432,0.0020124660910087,baseline
y1::3,human,Human,0,0.9911120959194089,0.0022402665116754,0.0022010242051886,0.0022263680739603,0.0022202452897668,baseline
y1::4,human,Human,0,0.988533185979131,0.0028558672695638,0.002871788855264,0.0028718413799705,0.0028673165160705,baseline
y1::5,human,Human,4,0.0020664681326757,0.0020384490242324,0.0020256511332067,0.0020656921308071,0.991803739579078,baseline
y1::6,human,Human,0,0.9922483736478128,0.0019362304712261,0.0019177566385985,0.0019400951337539,0.0019575441086085,baseline
y1::7,human,Human,1,0.002314120539146,0.9907334614645706,0.0023028479002153,0.0023108714824834,0.0023386986135846,baseline
y1::8,human,Human,0,0.991607682600585,0.0020971124071686,0.0020933743172712,0.0020996246842967,0.0021022059906782,baseline
y1::9,human,Human,0,0.9913315621689917,0.0021671131785719,0.0021500593123791,0.0021702764163466,0.0021809889237106,baseline
y2::1,human,Human,4,0.2515732340950325,0.0021200436947719,0.0021083290500758,0.0021435006744701,0.7420548924856496,baseline
y2::10,human,Human,4,0.0019695161240028,0.0019838324302206,0.0019791285255346,0.0019662066432644,0.9921013162769774,baseline
y2::11,human,Human,2,0.0027226429653414,0.0027184435210989,0.9891075605171136,0.0027123829965366,0.0027389699999092,baseline
y2::2,human,Human,4,0.0023932465256869,0.0023684635186126,0.0023634774074134,0.0023835815990007,0.9904912309492864,baseline
y2::3,human,Human,1,0.0022427466208476,0.5989993128900349,0.0022183454176936,0.0022119021549984,0.3943276929164251,baseline
y2::4,human,Human,4,0.0025446047495119,0.0025468816345615,0.0025361512737803,0.0025819663475543,0.9897903959945916,baseline
y2::5,human,Human,3,0.0026055142148875,0.0026196205343521,0.0025969674212015,0.9895731210276046,0.0026047768019541,baseline
y2::6,human,Human,4,0.0026065318911339,0.0025755473117123,0.0025630221281273,0.1328772861459156,0.8593776125231107,baseline
y2::7,human,Human,1,0.0020025437854803,0.9919954261748852,0.0019874794874506,0.0020042322597521,0.0020103182924317,baseline
y2::8,human,Human,3,0.002415931808053,0.0024053382912721,0.0023768761112679,0.9903753215210992,0.0024265322683076,baseline
y2::9,human,Human,1,0.0024138269614228,0.9904051732976876,0.0023827170691444,0.002388025521858,0.0024102571498869,baseline
