condition,task,text_branch,field,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
baseline,proposals,rephrased,whole,vendi,q=1,claude<gemini<gpt<human,2736.0,5.435912713760027e-16,2.1743650855040107e-15,False,facet=richness
baseline,proposals,rephrased,whole,participation_ratio,,claude<gemini<gpt<human,1798.0,0.07049008701611306,0.09398678268815075,False,facet=dimensionality
baseline,proposals,rephrased,whole,coverage_geometric,k=3,claude<gemini<gpt<human,3.5,0.36704759115973784,0.36704759115973784,False,facet=coverage
baseline,proposals,rephrased,whole,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2615.0,3.6854052400607894e-13,7.370810480121579e-13,False,facet=evenness
one_at_a_time,proposals,rephrased,whole,vendi,q=1,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00014900839973304683,False,facet=richness
one_at_a_time,proposals,rephrased,whole,participation_ratio,,claude<gemini<gpt<human,2633.0,1.4608110031337142e-13,5.843244012534857e-13,False,facet=dimensionality
one_at_a_time,proposals,rephrased,whole,coverage_geometric,k=3,claude<gemini<gpt<human,3.5,0.36704759115973784,0.36704759115973784,False,facet=coverage
one_at_a_time,proposals,rephrased,whole,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2116.0,0.00011175629979978511,0.00014900839973304683,False,facet=evenness
persona,proposals,rephrased,whole,vendi,q=1,claude<gemini<gpt<human,2645.0,7.814944076824459e-14,3.1259776307297835e-13,False,facet=richness
persona,proposals,rephrased,whole,participation_ratio,,claude<gemini<gpt<human,579.0,0.9999999999989881,0.9999999999989881,False,facet=dimensionality
persona,proposals,rephrased,whole,coverage_geometric,k=3,claude<gemini<gpt<human,4.0,0.24845292378238398,0.33127056504317864,False,facet=coverage
persona,proposals,rephrased,whole,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2448.0,9.43701580918602e-10,1.887403161837204e-09,False,facet=evenness
