group,dip_stat,dip_p,n_pairs,median_dist
human,0.16283559775654782,0.0,253,0.07535285
ai_all,0.06713224831214272,0.0,2346,0.041987926
within_model,0.06924319960221688,0.0,759,0.03925371
between_model,0.06654259465584765,0.0,1587,0.043394566
