metric,human_mean,ai_mean,mw_p,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,p_holm,mw_sig
element_novel_0,0.12203204708695652,0.06422036739130435,3.5026701318979376e-09,-0.8260869565217391,-0.996219281663516,-0.6004095778197863,3.5026701318979376e-09,***
element_novel_1,0.19652463434782608,0.11504196698550725,3.6855477260815686e-10,-0.8764965343415249,-0.9785759294265911,-0.7366099558916194,7.371095452163137e-10,***
element_novel_5,0.22857054826086956,0.1396208791304348,9.532482142900653e-11,-0.9054820415879017,-0.9899180844360429,-0.7995904221802144,2.859744642870196e-10,***
element_novel_10,0.2477777873913044,0.15419052681159418,7.065027735158341e-11,-0.9117832388153749,-0.9924385633270322,-0.8084120982986769,2.8260110940633363e-10,***
