comparison,metric,label,n_group,n_human,mean_group,mean_human,human_mean,ai_mean,u_stat,mw_p,p_value,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,breadth_human,breadth_ai_full,breadth_ai_boot_mean,breadth_ai_boot_ci_lo,breadth_ai_boot_ci_hi,p_holm
All AI vs Human,max_region_weight,Max region wt,69,23,0.9355072448219078,0.8999999981859456,0.8999999981859456,0.9355072448219078,992.5,0.04010718170667831,0.04010718170667831,0.25078764965343414,0.015737240075614365,0.4763705103969754,5,4,3.521,2.0,4.0,0.19341817751441026
All AI vs Human,region_entropy,Region entropy,69,23,0.14691550187442615,0.25865301748980646,0.25865301748980646,0.14691550187442615,593.0,0.03868363550288205,0.03868363550288205,-0.2526780088216761,-0.4814272211720227,-0.021408317580340352,5,4,3.521,2.0,4.0,0.19341817751441026
All AI vs Human,effective_region_count,Effective regions,69,23,1.1967920729072579,1.3689763370552528,1.3689763370552528,1.1967920729072579,593.0,0.03868363550288205,0.03868363550288205,-0.2526780088216761,-0.4814272211720227,-0.021408317580340352,5,4,3.521,2.0,4.0,0.19341817751441026
All AI vs Human,n_regions_gt5pct,Regions >5%,69,23,1.2318840579710144,1.3478260869565217,1.3478260869565217,1.2318840579710144,728.0,0.4353472542106206,0.4353472542106206,-0.08254568367989919,-0.2999842470069313,0.11594202898550725,5,4,3.521,2.0,4.0,0.8706945084212412
All AI vs Human,unassigned_neighbor_frac,Unassigned frac,69,23,0.0,0.0,0.0,0.0,793.5,1.0,1.0,0.0,0.0,0.0,5,4,3.521,2.0,4.0,1.0
