cluster,human_count,ai_count,human_frac,ai_frac,fisher_p
Cluster_A,6,6,0.2608695652173913,0.08695652173913043,0.06653580371529971
Cluster_B,17,63,0.7391304347826086,0.9130434782608695,0.06653580371529971
