topic,human_count,ai_count,human_frac,ai_frac,chi2,p_chi2,p_perm
Topic_1,14,32,0.6086956521739131,0.463768115942029,0.927536231884058,0.3355039530729915,0.3271345730853829
Topic_2,9,37,0.391304347826087,0.5362318840579711,0.927536231884058,0.3355039530729915,0.3271345730853829
