metric,human_mean,ai_mean,mw_p,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,p_holm,mw_sig
mean_knn_5,0.13160761747826083,0.07062358711594204,4.125896952380911e-09,-0.8223062381852552,-0.9987397605545053,-0.5891619407687461,2.4755381714285465e-08,***
mean_knn_10,0.1373926774347826,0.07547135215942029,7.886722858810248e-09,-0.8071833648393195,-0.9987397605545053,-0.5551039697542535,3.943361429405124e-08,***
mean_knn_20,0.14403311843478261,0.080282653,1.0296154847532436e-08,-0.8008821676118463,-0.9949590422180214,-0.5425330812854442,3.943361429405124e-08,***
mean_knn_50,0.15422815347826085,0.08688707410144926,8.319956896471587e-09,-0.8059231253938248,-0.9924385633270322,-0.556364209199748,3.943361429405124e-08,***
novelty_ratio,1.223357163478261,1.1666726086956523,0.34836518591913135,-0.13169502205419029,-0.43796471329552616,0.19102079395085014,0.34836518591913135,p=0.348
novelty_z,1.0430983952173913,0.4534635814492754,0.0010300872696778203,-0.45935727788279773,-0.7353812224322621,-0.12662255828607452,0.0020601745393556406,**
