domain,metric,human_val,ai_boot_mean,perm_p,cliffs_delta,sig
Diversity,Mean Pairwise Distance,0.3411170542240143,0.15238453236967325,9.999000099990002e-05,-0.8260869565217391,***
Diversity,LOO Centroid Distance,0.19527234137058258,0.0821464559994638,0.008899110088991101,-0.8260869565217391,**
Diversity,Global Centroid Distance,0.19125531613826752,0.07933199600502848,0.007799220077992201,-0.6962822936357907,**
Diversity,MST Mean Edge Weight,0.1003725528717041,0.06132585085251115,0.0009998000399920016,,***
Diversity,Sparseness (Medoid),0.22182776033878326,0.09261064766719937,0.009799020097990201,-0.6994328922495274,**
Diversity,Chamfer (NN Distance),0.07511597871780396,0.043184389624744655,0.00019998000199980003,-0.868935097668557,***
Diversity,Grid Entropy,0.33037608368633953,0.36401099557738403,0.7710457908418317,,p=0.771
Novelty-Element,element_novel_0,0.0993075813043478,0.0870918545942028,0.2752493323270114,-0.1531190926275992,p=0.275
Novelty-Element,element_novel_1,0.1686824799999999,0.1468784561884057,0.0297735386879205,-0.3043478260869565,*
Novelty-Element,element_novel_5,0.1993961786956521,0.1757435210144928,0.0364441220124735,-0.2930056710775047,*
Novelty-Element,element_novel_10,0.2170687947826086,0.192963852173913,0.063240608487882,-0.260239445494644,p=0.063
Novelty-KNN,mean_knn_5,0.1094224586086956,0.0944594449565217,0.182036199868986,-0.1871455576559546,p=0.182
Novelty-KNN,mean_knn_10,0.1151282846086956,0.0990343311304347,0.182036199868986,-0.1871455576559546,p=0.182
Novelty-KNN,mean_knn_20,0.1210994340434782,0.1040703190434782,0.1595319357411113,-0.1972274732199117,p=0.160
Novelty-KNN,mean_knn_50,0.1299175845652173,0.1116943671304347,0.1145725088222548,-0.22117202268431,p=0.115
Novelty-KNN,novelty_ratio,1.2372510391304352,1.212538924637681,0.8076504440407644,-0.0346565847511027,p=0.808
Novelty-KNN,novelty_z,0.7323286582608696,0.546939455362319,0.2873275178639888,-0.1493383742911153,p=0.287
BERTopic,max_region_weight,0.8999999981859456,0.9355072448219078,0.0401071817066783,0.2507876496534341,*
BERTopic,region_entropy,0.2586530174898064,0.1469155018744261,0.038683635502882,-0.2526780088216761,*
BERTopic,effective_region_count,1.3689763370552528,1.196792072907258,0.038683635502882,-0.2526780088216761,*
BERTopic,n_regions_gt5pct,1.3478260869565215,1.2318840579710144,0.4353472542106206,-0.0825456836798991,p=0.435
BERTopic,unassigned_neighbor_frac,0.0,0.0,1.0,0.0,p=1.000
MeSH,80.0,,,0.8250903537879498,0.0315059861373661,p=0.825
Style,n_words,256.1304347826087,256.5652173913044,0.6484250409055169,0.0642722117202268,p=0.648
Style,n_chars,1844.8695652173913,1858.623188405797,0.4542032947098141,0.1052299936988027,p=0.454
Style,n_sents,13.043478260869565,13.0,0.087831602374945,-0.0434782608695652,p=0.088
Style,avg_word_len,6.117759541550167,6.163707342865723,0.698214921289577,0.054820415879017,p=0.698
Style,avg_sent_len_words,19.641901576684187,19.735785953177256,0.5274032125317525,0.0888468809073724,p=0.527
Style,type_token_ratio,0.5904175153339107,0.6079075270865404,0.0274763151142326,0.3087586641461878,*
Style,stopword_rate,0.341765412111245,0.3387926991949854,0.5915705593266405,-0.0756143667296786,p=0.592
Style,hedge_rate,0.0011998274810525,0.0001136966319713,0.0005998289625141,-0.2350346565847511,***
Style,flesch_reading_ease,9.966046470995805,8.451317889791099,0.424864001780513,-0.1121613106490233,p=0.425
Style,fk_grade_level,16.74885930353926,16.983457000926613,0.4679156630793923,0.1020793950850661,p=0.468
Style,comma_per_1k_chars,1.1091798662313537,1.389526099122618,0.6059234489628003,0.072463768115942,p=0.606
Style,semicolon_per_1k_chars,0.0,0.0,1.0,0.0,p=1.000
Style,colon_per_1k_chars,0.0,0.0,1.0,0.0,p=1.000
Style,dash_per_1k_chars,0.3979841588038929,0.1325549206898096,0.0065631849532352,-0.2848141146817895,**
Style,paren_per_1k_chars,1.0388390605507851,0.904213901396244,0.2409909336011452,-0.1606805293005671,p=0.241
Style,quote_per_1k_chars,0.0429414922168545,0.0,0.087831602374945,-0.0434782608695652,p=0.088
Style,newline_per_1k_chars,4.721156761175011,4.936859109991535,0.842749364872347,-0.0283553875236294,p=0.843
Style,bullet_per_1k_chars,0.0,0.0,1.0,0.0,p=1.000
