metric,human_val,ai_full_val,ai_boot_mean,ai_boot_ci_lo,ai_boot_ci_hi,mw_p,perm_p,cliffs_delta,mw_sig,perm_sig
Mean Pairwise Distance,0.4429176151752472,0.18259109556674957,0.18236038210242986,0.03897554101422429,0.29001297205686566,3.989057696412154e-08,9.999000099990002e-05,-0.7681159420289855,***,***
LOO Centroid Distance,0.266496866941452,0.09675565361976624,0.0991417620908469,0.02058286895044148,0.16263803541660307,3.989057696412154e-08,0.00039996000399960006,-0.7681159420289855,***,***
Global Centroid Distance,0.29259729385375977,0.09910072386264801,0.09890805140137672,0.04158598436042667,0.15163407139480115,2.2700757955203445e-07,9.999000099990002e-05,-0.724007561436673,***,***
MST Mean Edge Weight,0.11258743026039818,0.042712128337691814,0.06375350204381075,0.02724997414783998,0.07671525654467669,,0.0001999600079984003,,n/a,***
Sparseness (Medoid),0.3720565438270569,0.10982314497232437,0.10976888708211481,0.030830517504364253,0.18127736076712608,1.1174523922695215e-07,0.00019998000199980003,-0.7422810333963453,***,***
Chamfer (NN Distance),0.08215293288230896,0.03371549770236015,0.04150022407621145,0.0267273367382586,0.05673564728349447,1.6119374401670749e-09,9.999000099990002e-05,-0.8437303087586642,***,***
Grid Entropy (norm),0.4144558509085827,0.33197172592319474,0.26672248311357916,0.11050841321642438,0.758636677870326,,0.4971005798840232,,n/a,p=0.497
