cluster,group,n_proposals,mean_pairwise_dist
Cluster_A,Human,6,0.24156975746154785
Cluster_A,All AI,6,0.14927813410758972
Cluster_B,Human,17,0.05768314003944397
Cluster_B,All AI,63,0.0401521697640419
