condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
baseline,claude,Claude,medoid_dist,sparseness,0.9683794466403162,3.8565010642989665e-14,23
baseline,claude,Claude,mst_dispersion,remote_clique,0.974308300395257,4.473465094212444e-15,23
baseline,claude,Claude,mst_dispersion,sparseness,0.9268774703557312,2.133522580785247e-10,23
baseline,claude,Claude,nn,centroid_loo,0.9456521739130436,1.0287762126573295e-11,23
baseline,claude,Claude,nn,global_centroid_dist,0.8853754940711462,1.984058663849598e-08,23
baseline,claude,Claude,nn,medoid_dist,0.933794466403162,7.751322266758986e-11,23
baseline,claude,Claude,nn,mst_dispersion,0.9891304347826088,5.704063065422532e-19,23
baseline,claude,Claude,nn,remote_clique,0.9496047430830039,4.738207317241129e-12,23
baseline,claude,Claude,nn,span90,0.7915019762845852,6.8533294895330436e-06,23
baseline,claude,Claude,nn,sparseness,0.8853754940711462,1.984058663849598e-08,23
baseline,claude,Claude,span90,mst_dispersion,0.8448616600790515,3.951436137199726e-07,23
baseline,claude,Claude,span90,remote_clique,0.9130434782608695,1.2366809696599139e-09,23
baseline,claude,Claude,span90,sparseness,0.9634387351778656,1.7329804448776302e-13,23
baseline,claude,Claude,sparseness,remote_clique,0.9673913043478262,5.304299500721495e-14,23
baseline,gemini,Gemini,centroid_loo,global_centroid_dist,0.958498023715415,6.416966974193458e-13,23
baseline,gemini,Gemini,centroid_loo,medoid_dist,0.9525691699604744,2.5401685638882054e-12,23
baseline,gemini,Gemini,centroid_loo,mst_dispersion,0.9901185770750988,2.1058652770074424e-19,23
baseline,gemini,Gemini,centroid_loo,remote_clique,0.9881422924901186,1.4161001110682598e-18,23
baseline,gemini,Gemini,centroid_loo,span90,0.9189723320158102,6.050839398792519e-10,23
baseline,gemini,Gemini,centroid_loo,sparseness,0.958498023715415,6.416966974193458e-13,23
baseline,gemini,Gemini,global_centroid_dist,medoid_dist,0.9723320158102767,9.656461912075791e-15,23
baseline,gemini,Gemini,global_centroid_dist,mst_dispersion,0.9594861660079053,5.004227319259316e-13,23
baseline,gemini,Gemini,global_centroid_dist,remote_clique,0.9881422924901186,1.4161001110682598e-18,23
baseline,gemini,Gemini,global_centroid_dist,span90,0.9733201581027668,6.620049324533835e-15,23
baseline,gemini,Gemini,global_centroid_dist,sparseness,1.0,0.0,23
baseline,gemini,Gemini,mean_pairwise,centroid_loo,0.9881422924901186,1.4161001110682598e-18,23
baseline,gemini,Gemini,mean_pairwise,global_centroid_dist,0.9881422924901186,1.4161001110682598e-18,23
baseline,gemini,Gemini,mean_pairwise,medoid_dist,0.9693675889328063,2.7752536222287567e-14,23
baseline,gemini,Gemini,mean_pairwise,mst_dispersion,0.983201581027668,5.3708298825907296e-17,23
baseline,gemini,Gemini,mean_pairwise,nn,0.9654150197628459,9.753706702555674e-14,23
baseline,gemini,Gemini,mean_pairwise,remote_clique,1.0,0.0,23
baseline,gemini,Gemini,mean_pairwise,span90,0.9594861660079053,5.004227319259316e-13,23
baseline,gemini,Gemini,mean_pairwise,sparseness,0.9881422924901186,1.4161001110682598e-18,23
baseline,gemini,Gemini,medoid_dist,mst_dispersion,0.9634387351778656,1.7329804448776302e-13,23
baseline,gemini,Gemini,medoid_dist,remote_clique,0.9693675889328063,2.7752536222287567e-14,23
baseline,gemini,Gemini,medoid_dist,span90,0.9249011857707511,2.7981010516231444e-10,23
baseline,gemini,Gemini,medoid_dist,sparseness,0.9723320158102767,9.656461912075791e-15,23
baseline,gemini,Gemini,mst_dispersion,remote_clique,0.983201581027668,5.3708298825907296e-17,23
baseline,gemini,Gemini,mst_dispersion,sparseness,0.9594861660079053,5.004227319259316e-13,23
baseline,gemini,Gemini,nn,centroid_loo,0.9792490118577075,4.854287395760623e-16,23
baseline,gemini,Gemini,nn,global_centroid_dist,0.9377470355731227,4.133520162074528e-11,23
baseline,gemini,Gemini,nn,medoid_dist,0.9318181818181819,1.0463425918664262e-10,23
baseline,gemini,Gemini,nn,mst_dispersion,0.9861660079051384,7.084225362889057e-18,23
baseline,gemini,Gemini,nn,remote_clique,0.9654150197628459,9.753706702555674e-14,23
baseline,gemini,Gemini,nn,span90,0.8804347826086957,3.0213401064793844e-08,23
baseline,gemini,Gemini,nn,sparseness,0.9377470355731227,4.133520162074528e-11,23
baseline,gemini,Gemini,span90,mst_dispersion,0.9120553359683794,1.3862822602287868e-09,23
baseline,gemini,Gemini,span90,remote_clique,0.9594861660079053,5.004227319259316e-13,23
baseline,gemini,Gemini,span90,sparseness,0.9733201581027668,6.620049324533835e-15,23
baseline,gemini,Gemini,sparseness,remote_clique,0.9881422924901186,1.4161001110682598e-18,23
baseline,gpt,GPT,centroid_loo,global_centroid_dist,0.9426877470355731,1.7733200161440015e-11,23
baseline,gpt,GPT,centroid_loo,medoid_dist,0.9318181818181819,1.0463425918664262e-10,23
baseline,gpt,GPT,centroid_loo,mst_dispersion,0.91600790513834,8.707277459697383e-10,23
baseline,gpt,GPT,centroid_loo,remote_clique,0.9851778656126482,1.4555716366082698e-17,23
baseline,gpt,GPT,centroid_loo,span90,0.9090909090909092,1.937423986061789e-09,23
