evaluator,count,mean,median,std
gemini-3-pro-preview,92,4.322826086956522,4.5,0.42480849230702494
gpt-5.2,92,3.6652173913043478,3.8,0.36658051080630283
claude-opus-4-5,92,3.577173913043478,3.8,0.45115316491529883
