metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,wilcoxon_stat,wilcoxon_p_value,n_paired_proposals,q_value
cosine_similarity,7,7,15.0,0.25932400932400934,-0.3877551020408163,medium,human-ai,human-human,9.0,0.46875,7,0.25932400932400934
cosine_similarity,7,7,49.0,0.0005827505827505828,1.0,large,ai-ai,human-human,0.0,0.015625,7,0.0008741258741258741
cosine_similarity,7,7,49.0,0.0005827505827505828,1.0,large,ai-ai,human-ai,0.0,0.015625,7,0.0008741258741258741
sentiment_alignment,7,7,22.0,0.8047785547785549,-0.10204081632653061,negligible,human-ai,human-human,10.0,0.578125,7,0.8047785547785549
sentiment_alignment,7,7,33.0,0.31759906759906764,0.3469387755102041,medium,ai-ai,human-human,10.0,0.578125,7,0.47639860139860146
sentiment_alignment,7,7,33.0,0.31759906759906764,0.3469387755102041,medium,ai-ai,human-ai,12.0,0.8125,7,0.47639860139860146
categorical_agreement_num,7,7,22.0,0.7926473299658983,-0.10204081632653061,negligible,human-ai,human-human,7.0,1.0,7,0.7926473299658983
categorical_agreement_num,7,7,33.5,0.20424533307304626,0.3673469387755102,medium,ai-ai,human-human,1.0,0.25,7,0.3063679996095694
categorical_agreement_num,7,7,37.0,0.08906900419315998,0.5102040816326531,large,ai-ai,human-ai,1.0,0.125,7,0.26720701257947993
