metric,human,ai,p,delta,frac
mean_pairwise,0.043290670940184996,0.03257373146911819,0.0016937255859375,0.7340720221606648,0.8947368421052632
nn,0.03810016942333528,0.02915742793135786,0.002399444580078125,0.7285318559556787,0.8421052631578947
span90,0.01665639918888513,0.012349350473089238,0.002838134765625,0.7008310249307479,0.7894736842105263
sparseness,0.026277083627158124,0.020120280678548458,0.002399444580078125,0.739612188365651,0.8421052631578947
