title,cohort,metric,human_n3,ai_n3
predictive synthesis framework for elucidating biophysical cell state from spatial transcriptomics and proteomics,Y2,mean_pairwise,0.03962898766228011,0.02912215835383077
predictive synthesis framework for elucidating biophysical cell state from spatial transcriptomics and proteomics,Y2,nn,0.034542323920636456,0.026301459416398092
predictive synthesis framework for elucidating biophysical cell state from spatial transcriptomics and proteomics,Y2,sparseness,0.02389158315337582,0.017907102434905193
predictive synthesis framework for elucidating biophysical cell state from spatial transcriptomics and proteomics,Y2,span90,0.01536758522611908,0.010855048509416676
revealing the ontology of allostery through communityscale synthesis,Y2,mean_pairwise,0.041199403795152745,0.03025927517799813
revealing the ontology of allostery through communityscale synthesis,Y2,nn,0.03650456174335351,0.025173441237098155
revealing the ontology of allostery through communityscale synthesis,Y2,sparseness,0.025594902002464056,0.01720143068119806
revealing the ontology of allostery through communityscale synthesis,Y2,span90,0.015925898487697522,0.012019824759098796
searching the crosslinking mass spectrometry universe for new proteinprotein interactions,Y1,mean_pairwise,0.0465800986148216,0.058962957855669
searching the crosslinking mass spectrometry universe for new proteinprotein interactions,Y1,nn,0.04015477105951895,0.05058103974652587
searching the crosslinking mass spectrometry universe for new proteinprotein interactions,Y1,sparseness,0.027764368185079425,0.03592983817163594
searching the crosslinking mass spectrometry universe for new proteinprotein interactions,Y1,span90,0.01823344757795673,0.023603472771358592
synevo discovering evolutionary principles of molecular organization through crossspecies data synthesis,Y2,mean_pairwise,0.049263466539053155,0.03385113797428093
synevo discovering evolutionary principles of molecular organization through crossspecies data synthesis,Y2,nn,0.0411064185079976,0.029241238202024216
synevo discovering evolutionary principles of molecular organization through crossspecies data synthesis,Y2,sparseness,0.029202678730967612,0.02002372525927069
synevo discovering evolutionary principles of molecular organization through crossspecies data synthesis,Y2,span90,0.020061479193663564,0.013116631665191147
synthesizing gene expression data to create an atlas of bacterial cell states,Y1,mean_pairwise,0.028219387512636054,0.038769430725922725
synthesizing gene expression data to create an atlas of bacterial cell states,Y1,nn,0.025443476796009917,0.03693565238598032
synthesizing gene expression data to create an atlas of bacterial cell states,Y1,sparseness,0.017230170045456582,0.024945385513444423
synthesizing gene expression data to create an atlas of bacterial cell states,Y1,span90,0.010494072177028057,0.013757401987103757
transposable elements and the emergence of genomic innovation,Y1,mean_pairwise,0.03845135504011081,0.037919484707389074
transposable elements and the emergence of genomic innovation,Y1,nn,0.035706875710044994,0.029435385427017142
transposable elements and the emergence of genomic innovation,Y1,sparseness,0.024481914556409582,0.021244422104848115
transposable elements and the emergence of genomic innovation,Y1,span90,0.014101364375108666,0.016241894349454646
