condition,task,text_version,field,facet,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
one_at_a_time,proposals,original,whole,spread,mean_pairwise,,claude<gemini<gpt<human,2437.0,1.5103889504777546e-09,1.3593500554299792e-08,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,original,whole,richness,vendi,q=1,claude<gemini<gpt<human,2156.0,3.594791506239134e-05,9.954807248046833e-05,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,original,whole,dimensionality,participation_ratio,,claude<gemini<gpt<human,384.0,1.0,1.0,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,original,whole,coverage,coverage_geometric,k=3,claude<gemini<gpt<human,5.0,0.08711569412401254,0.12062173032555583,False,single coverage values per group; human = split-half median
one_at_a_time,proposals,original,whole,evenness,ripley_excess,r=pooled_q01_q50,claude<gemini<gpt<human,2332.0,1.0078804707362925e-07,3.0236414122088777e-07,False,JT over leave-one-out jackknife replicates
one_at_a_time,proposals,original,whole,displacement,mmd2,,claude>gemini>gpt (M5 flip: larger = more displaced),0.0,1.1702365564159393e-18,2.1064258015486907e-17,True,JT over LOO replicates of Human<->model MMD2; predicted DECREASING (spec 8.2 direction flip)
one_at_a_time,proposals,original,whole,coverage,coverage_bertopic_region,k_lit=5,claude<gemini<gpt<human,2380.5,1.5449621204880125e-08,5.561863633756845e-08,True,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,original,whole,coverage,coverage_mesh_terms,k_lit=5,claude<gemini<gpt<human,2364.0,2.9609614471722e-08,9.690419281654472e-08,False,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,original,whole,coverage,coverage_bertopic_region,k_lit=10,claude<gemini<gpt<human,2380.5,1.5449621204880125e-08,5.561863633756845e-08,True,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,original,whole,coverage,coverage_mesh_terms,k_lit=10,claude<gemini<gpt<human,2645.0,7.814944076824459e-14,9.37793289218935e-13,False,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,original,whole,coverage,coverage_bertopic_region,k_lit=20,claude<gemini<gpt<human,2380.5,1.5449621204880125e-08,5.561863633756845e-08,True,JT over LOO jackknife replicates of the union count at matched n
one_at_a_time,proposals,original,whole,coverage,coverage_mesh_terms,k_lit=20,claude<gemini<gpt<human,3139.5,1.2163555021520467e-27,4.3788798077473685e-26,True,JT over LOO jackknife replicates of the union count at matched n
