metric,comparison,n_human_all,n_other,mean_diff,bootstrap_ci_lo,bootstrap_ci_hi,permutation_p_value,permutation_q_value
overall_score,human-all minus claude-opus-4-5,23,23,-0.4826086956521758,-0.6652173913043482,-0.30434782608695743,0.0001999600079984003,0.00029994001199760045
overall_score,human-all minus gemini-3-pro-preview,23,23,-0.4260869565217402,-0.6478260869565218,-0.178260869565217,0.0007998400319936012,0.0007998400319936012
overall_score,human-all minus gpt-5.2,23,23,-0.5869565217391304,-0.7696739130434779,-0.4130434782608705,0.0001999600079984003,0.00029994001199760045
Relevance_to_Emergent_Phenomena,human-all minus claude-opus-4-5,23,23,-1.347826086956522,-1.7391304347826084,-0.9999999999999996,0.0001999600079984003,0.0001999600079984003
Relevance_to_Emergent_Phenomena,human-all minus gemini-3-pro-preview,23,23,-1.5652173913043481,-1.9130434782608696,-1.2173913043478262,0.0001999600079984003,0.0001999600079984003
Relevance_to_Emergent_Phenomena,human-all minus gpt-5.2,23,23,-1.652173913043478,-2.0,-1.3478260869565215,0.0001999600079984003,0.0001999600079984003
Novelty_and_Significance,human-all minus claude-opus-4-5,23,23,-0.1304347826086958,-0.30434782608695654,0.0,0.2435512897420516,0.3653269346130774
Novelty_and_Significance,human-all minus gemini-3-pro-preview,23,23,-0.08695652173913038,-0.26086956521739113,0.08695652173913038,0.6306738652269546,0.6306738652269546
Novelty_and_Significance,human-all minus gpt-5.2,23,23,-0.1304347826086958,-0.30434782608695654,0.0,0.2435512897420516,0.3653269346130774
Rigor_of_Approach,human-all minus claude-opus-4-5,23,23,-0.1304347826086958,-0.3478260869565215,0.04347826086956541,0.3935212957408518,0.5902819436112777
Rigor_of_Approach,human-all minus gemini-3-pro-preview,23,23,-0.043478260869564966,-0.21739130434782616,0.1304347826086958,1.0,1.0
Rigor_of_Approach,human-all minus gpt-5.2,23,23,-0.4782608695652173,-0.7391304347826084,-0.21739130434782616,0.002999400119976005,0.008998200359928016
Scope_and_Timeline,human-all minus claude-opus-4-5,23,23,-0.17391304347826075,-0.3913043478260869,0.0,0.19896020795840832,0.596880623875225
Scope_and_Timeline,human-all minus gemini-3-pro-preview,23,23,-0.043478260869564966,-0.30434782608695654,0.26086956521739113,1.0,1.0
Scope_and_Timeline,human-all minus gpt-5.2,23,23,-0.13043478260869534,-0.34782608695652195,0.08695652173913038,0.4323135372925415,0.6484703059388123
Synthesis_Focus,human-all minus claude-opus-4-5,23,23,-0.43478260869565233,-0.8695652173913047,-0.04347826086956541,0.06978604279144171,0.06978604279144171
Synthesis_Focus,human-all minus gemini-3-pro-preview,23,23,-0.47826086956521774,-0.9130434782608696,-0.08695652173913082,0.03939212157568486,0.059088182363527295
Synthesis_Focus,human-all minus gpt-5.2,23,23,-0.6086956521739131,-1.0434782608695654,-0.2608695652173916,0.001799640071985603,0.005398920215956809
Data_Identification,human-all minus claude-opus-4-5,23,23,-0.4782608695652173,-0.8260869565217392,-0.08695652173913082,0.027194561087782444,0.04079184163167367
Data_Identification,human-all minus gemini-3-pro-preview,23,23,-0.30434782608695654,-0.6521739130434785,0.04347826086956541,0.1295740851829634,0.1295740851829634
Data_Identification,human-all minus gpt-5.2,23,23,-0.6086956521739131,-0.9565217391304346,-0.2608695652173916,0.001999600079984003,0.00599880023995201
Open_Science_Commitment,human-all minus claude-opus-4-5,23,23,-0.7391304347826084,-1.1304347826086958,-0.3913043478260869,0.0007998400319936012,0.0011997600479904018
Open_Science_Commitment,human-all minus gemini-3-pro-preview,23,23,-0.652173913043478,-1.1304347826086958,-0.17391304347826075,0.01199760047990402,0.011997600479904022
Open_Science_Commitment,human-all minus gpt-5.2,23,23,-0.7826086956521738,-1.1739130434782608,-0.43478260869565233,0.0001999600079984003,0.0005998800239952009
