metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,wilcoxon_stat,wilcoxon_p_value,n_paired_proposals,q_value
cosine_similarity,8,8,26.0,0.5737373737373737,-0.1875,small,human-ai,human-human,10.0,0.3125,8,0.5737373737373737
cosine_similarity,8,8,40.0,0.4418026418026417,0.25,small,ai-ai,human-human,10.0,0.3125,8,0.5737373737373737
cosine_similarity,8,8,64.0,0.0001554001554001554,1.0,large,ai-ai,human-ai,0.0,0.0078125,8,0.0004662004662004662
sentiment_alignment,8,8,34.0,0.8784770784770783,0.0625,negligible,human-ai,human-human,17.0,0.9453125,8,0.8784770784770783
sentiment_alignment,8,8,44.0,0.23449883449883446,0.375,medium,ai-ai,human-human,11.0,0.3828125,8,0.3517482517482517
sentiment_alignment,8,8,47.0,0.13038073038073036,0.46875,medium,ai-ai,human-ai,10.0,0.3125,8,0.3517482517482517
categorical_agreement_num,8,8,23.0,0.36560670917271254,-0.28125,small,human-ai,human-human,9.0,0.25,8,0.7082279773025455
categorical_agreement_num,8,8,26.0,0.5299094379128136,-0.1875,small,ai-ai,human-human,10.5,0.5625,8,0.7082279773025455
categorical_agreement_num,8,8,36.0,0.7082279773025455,0.125,negligible,ai-ai,human-ai,16.0,0.8515625,8,0.7082279773025455
