metric,n_group1,n_group2,u_stat,p_value,cliffs_delta,delta_magnitude,group1,group2,ai_model_pair,q_value
cosine_similarity,8,8,64.0,0.0001554001554001554,1.0,large,ai-ai::claude-opus-4-5 vs gemini-3-pro-preview,human-human,claude-opus-4-5 vs gemini-3-pro-preview,0.0004662004662004662
cosine_similarity,8,8,33.0,0.959129759129759,0.03125,negligible,ai-ai::claude-opus-4-5 vs gpt-5.2,human-human,claude-opus-4-5 vs gpt-5.2,0.959129759129759
cosine_similarity,8,8,35.0,0.7984459984459983,0.09375,negligible,ai-ai::gemini-3-pro-preview vs gpt-5.2,human-human,gemini-3-pro-preview vs gpt-5.2,0.959129759129759
sentiment_alignment,8,8,57.0,0.006993006993006993,0.78125,large,ai-ai::claude-opus-4-5 vs gemini-3-pro-preview,human-human,claude-opus-4-5 vs gemini-3-pro-preview,0.02097902097902098
sentiment_alignment,8,8,47.0,0.13038073038073036,0.46875,medium,ai-ai::claude-opus-4-5 vs gpt-5.2,human-human,claude-opus-4-5 vs gpt-5.2,0.19557109557109553
sentiment_alignment,8,8,43.0,0.2786324786324786,0.34375,medium,ai-ai::gemini-3-pro-preview vs gpt-5.2,human-human,gemini-3-pro-preview vs gpt-5.2,0.2786324786324786
categorical_agreement_num,8,8,42.0,0.22460981258016444,0.3125,small,ai-ai::claude-opus-4-5 vs gemini-3-pro-preview,human-human,claude-opus-4-5 vs gemini-3-pro-preview,0.5936485310183339
categorical_agreement_num,8,8,24.0,0.39576568734555595,-0.25,small,ai-ai::claude-opus-4-5 vs gpt-5.2,human-human,claude-opus-4-5 vs gpt-5.2,0.5936485310183339
categorical_agreement_num,8,8,30.0,0.8615735437982803,-0.0625,negligible,ai-ai::gemini-3-pro-preview vs gpt-5.2,human-human,gemini-3-pro-preview vs gpt-5.2,0.8615735437982804
