group,n_proposals,overall_mean,overall_median,overall_std
human-y1,12,3.2805555555555563,3.3,0.49430255596650197
human-y2,11,3.4424242424242424,3.5666666666666664,0.5168474756940515
human-all,23,3.3579710144927524,3.533333333333333,0.5004258178008518
claude-opus-4-5,23,3.9333333333333336,3.9666666666666663,0.08989331499509895
gemini-3-pro-preview,23,3.8942028985507244,4.0,0.3437247215922078
gpt-5.2,23,3.976811594202897,4.0,0.08004719732044417
