evaluator,count,mean,median,std
gemini-3-pro-preview,92,4.198913043478261,4.4,0.49536190903913857
claude-opus-4-5,92,3.6130434782608694,3.8,0.3973033804422579
gpt-5.2,92,3.5597826086956523,3.8,0.37330121668103033
