group,n_proposals,overall_mean,overall_median,overall_std
human-y1,12,3.2999999999999994,3.35,0.43693144875265144
human-y2,11,3.2818181818181817,3.3,0.43085538598973505
human-all,23,3.2913043478260864,3.3,0.4241708955322145
claude-opus-4-5,23,3.773913043478262,3.8,0.13888317950496054
gemini-3-pro-preview,23,3.7173913043478266,3.8,0.3651303302969595
gpt-5.2,23,3.8782608695652168,3.9,0.12044056149717565
