condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
one_at_a_time,claude,Claude,mean_pairwise,sparseness,0.9841897233201581,2.854051190493887e-17,23
one_at_a_time,claude,Claude,medoid_dist,mst_dispersion,0.9298418972332017,1.4000253245746014e-10,23
one_at_a_time,claude,Claude,medoid_dist,remote_clique,0.9575098814229249,8.179673134913354e-13,23
one_at_a_time,claude,Claude,medoid_dist,span90,0.9090909090909092,1.937423986061789e-09,23
one_at_a_time,claude,Claude,medoid_dist,sparseness,0.9673913043478262,5.304299500721495e-14,23
one_at_a_time,claude,Claude,mst_dispersion,remote_clique,0.9298418972332017,1.4000253245746014e-10,23
one_at_a_time,claude,Claude,mst_dispersion,sparseness,0.900197628458498,4.958714285583492e-09,23
one_at_a_time,claude,Claude,nn,centroid_loo,0.9229249011857708,3.643067085466445e-10,23
one_at_a_time,claude,Claude,nn,global_centroid_dist,0.9219367588932808,4.146041386732718e-10,23
one_at_a_time,claude,Claude,nn,medoid_dist,0.9436758893280633,1.4838379845626962e-11,23
one_at_a_time,claude,Claude,nn,mst_dispersion,0.9871541501976285,3.2675709718963424e-18,23
one_at_a_time,claude,Claude,nn,remote_clique,0.9446640316205533,1.2376027906403914e-11,23
one_at_a_time,claude,Claude,nn,span90,0.8725296442687748,5.7073251911847e-08,23
one_at_a_time,claude,Claude,nn,sparseness,0.9219367588932808,4.146041386732718e-10,23
one_at_a_time,claude,Claude,span90,mst_dispersion,0.8468379446640316,3.48556888574847e-07,23
one_at_a_time,claude,Claude,span90,remote_clique,0.9604743083003953,3.8781974119233065e-13,23
one_at_a_time,claude,Claude,span90,sparseness,0.974308300395257,4.473465094212444e-15,23
one_at_a_time,claude,Claude,sparseness,remote_clique,0.9841897233201581,2.854051190493887e-17,23
one_at_a_time,gemini,Gemini,centroid_loo,global_centroid_dist,0.900197628458498,4.958714285583492e-09,23
one_at_a_time,gemini,Gemini,centroid_loo,medoid_dist,0.8814229249011858,2.7817398148580042e-08,23
one_at_a_time,gemini,Gemini,centroid_loo,mst_dispersion,0.9407114624505929,2.5093672174275708e-11,23
one_at_a_time,gemini,Gemini,centroid_loo,remote_clique,0.9792490118577075,4.854287395760623e-16,23
one_at_a_time,gemini,Gemini,centroid_loo,span90,0.8873517786561266,1.6678520364260622e-08,23
one_at_a_time,gemini,Gemini,centroid_loo,sparseness,0.900197628458498,4.958714285583492e-09,23
one_at_a_time,gemini,Gemini,global_centroid_dist,medoid_dist,0.9426877470355731,1.7733200161440015e-11,23
one_at_a_time,gemini,Gemini,global_centroid_dist,mst_dispersion,0.8932806324110673,9.712217172071093e-09,23
one_at_a_time,gemini,Gemini,global_centroid_dist,remote_clique,0.9614624505928853,2.9858709763379274e-13,23
one_at_a_time,gemini,Gemini,global_centroid_dist,span90,0.9575098814229249,8.179673134913354e-13,23
