condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
persona,all_ai,All AI,centroid_loo,global_centroid_dist,0.9851778656126482,1.4555716366082698e-17,23
persona,all_ai,All AI,centroid_loo,medoid_dist,0.9545454545454547,1.63902003817655e-12,23
persona,all_ai,All AI,centroid_loo,mst_dispersion,0.9466403162055337,8.522205691075868e-12,23
persona,all_ai,All AI,centroid_loo,remote_clique,0.9930830039525691,5.041544879133055e-21,23
persona,all_ai,All AI,centroid_loo,span90,0.9614624505928853,2.9858709763379274e-13,23
persona,all_ai,All AI,centroid_loo,sparseness,0.9851778656126482,1.4555716366082698e-17,23
persona,all_ai,All AI,global_centroid_dist,medoid_dist,0.9545454545454547,1.63902003817655e-12,23
persona,all_ai,All AI,global_centroid_dist,mst_dispersion,0.9387351778656127,3.5096875332960365e-11,23
persona,all_ai,All AI,global_centroid_dist,remote_clique,0.9950592885375494,1.48576824188594e-22,23
persona,all_ai,All AI,global_centroid_dist,span90,0.9752964426877472,2.9762909743739418e-15,23
persona,all_ai,All AI,global_centroid_dist,sparseness,1.0,0.0,23
persona,all_ai,All AI,mean_pairwise,centroid_loo,0.9930830039525691,5.041544879133055e-21,23
persona,all_ai,All AI,mean_pairwise,global_centroid_dist,0.9950592885375494,1.48576824188594e-22,23
persona,all_ai,All AI,mean_pairwise,medoid_dist,0.9555335968379446,1.3069408987223545e-12,23
persona,all_ai,All AI,mean_pairwise,mst_dispersion,0.9446640316205533,1.2376027906403914e-11,23
persona,all_ai,All AI,mean_pairwise,nn,0.9239130434782609,3.195584369798008e-10,23
persona,all_ai,All AI,mean_pairwise,remote_clique,1.0,0.0,23
persona,all_ai,All AI,mean_pairwise,span90,0.9703557312252965,1.9754383177126073e-14,23
persona,all_ai,All AI,mean_pairwise,sparseness,0.9950592885375494,1.48576824188594e-22,23
persona,all_ai,All AI,medoid_dist,mst_dispersion,0.9673913043478262,5.304299500721495e-14,23
persona,all_ai,All AI,medoid_dist,remote_clique,0.9555335968379446,1.3069408987223545e-12,23
persona,all_ai,All AI,medoid_dist,span90,0.9011857707509882,4.48681122881196e-09,23
persona,all_ai,All AI,medoid_dist,sparseness,0.9545454545454547,1.63902003817655e-12,23
persona,all_ai,All AI,mst_dispersion,remote_clique,0.9446640316205533,1.2376027906403914e-11,23
persona,all_ai,All AI,mst_dispersion,sparseness,0.9387351778656127,3.5096875332960365e-11,23
persona,all_ai,All AI,nn,centroid_loo,0.9150197628458498,9.801372424338925e-10,23
persona,all_ai,All AI,nn,global_centroid_dist,0.9169960474308301,7.724063591873756e-10,23
persona,all_ai,All AI,nn,medoid_dist,0.9535573122529646,2.045296157918174e-12,23
persona,all_ai,All AI,nn,mst_dispersion,0.9822134387351777,9.745721849256444e-17,23
persona,all_ai,All AI,nn,remote_clique,0.9239130434782609,3.195584369798008e-10,23
persona,all_ai,All AI,nn,span90,0.8458498023715416,3.712004142058733e-07,23
persona,all_ai,All AI,nn,sparseness,0.9169960474308301,7.724063591873756e-10,23
persona,all_ai,All AI,span90,mst_dispersion,0.8804347826086957,3.0213401064793844e-08,23
persona,all_ai,All AI,span90,remote_clique,0.9703557312252965,1.9754383177126073e-14,23
persona,all_ai,All AI,span90,sparseness,0.9752964426877472,2.9762909743739418e-15,23
persona,all_ai,All AI,sparseness,remote_clique,0.9950592885375494,1.48576824188594e-22,23
persona,claude,Claude,centroid_loo,global_centroid_dist,0.9071146245059288,2.4066965518574098e-09,23
persona,claude,Claude,centroid_loo,medoid_dist,0.908102766798419,2.1606631230534575e-09,23
persona,claude,Claude,centroid_loo,mst_dispersion,0.9654150197628459,9.753706702555674e-14,23
persona,claude,Claude,centroid_loo,remote_clique,0.9664031620553359,7.225576101378271e-14,23
persona,claude,Claude,centroid_loo,span90,0.8685770750988143,7.723352767542854e-08,23
persona,claude,Claude,centroid_loo,sparseness,0.9071146245059288,2.4066965518574098e-09,23
persona,claude,Claude,global_centroid_dist,medoid_dist,0.9673913043478262,5.304299500721495e-14,23
persona,claude,Claude,global_centroid_dist,mst_dispersion,0.8992094861660079,5.474601098561781e-09,23
persona,claude,Claude,global_centroid_dist,remote_clique,0.9683794466403162,3.8565010642989665e-14,23
persona,claude,Claude,global_centroid_dist,span90,0.9733201581027668,6.620049324533835e-15,23
persona,claude,Claude,global_centroid_dist,sparseness,1.0,0.0,23
persona,claude,Claude,mean_pairwise,centroid_loo,0.9664031620553359,7.225576101378271e-14,23
persona,claude,Claude,mean_pairwise,global_centroid_dist,0.9683794466403162,3.8565010642989665e-14,23
