group,n,r,p
Human,23,-0.3222099228399872,0.13376674868006216
gpt-5.2,23,-0.2994425513920131,0.16511095718118318
gemini-3-pro-preview,23,-0.13726024524042268,0.5322766653739522
claude-opus-4-5,23,-0.7620738756886593,2.381164969585107e-05
