condition,task,text_branch,field,metric,param,order,JT,p_raw,p_fdr,direction_ok,notes
one_at_a_time,reviews,rephrased,whole,vendi,q=1,claude<gemini<gpt<human,838.0,0.3120246649150267,0.8530807367064245,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,whole,participation_ratio,,claude<gemini<gpt<human,675.5,0.9031382811033243,0.9031382811033243,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,whole,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,776.0,0.5764201236054753,0.8530807367064245,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,whole,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,761.0,0.6398105525298183,0.8530807367064245,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,vendi,q=1,claude<gemini<gpt<human,898.0,0.12487541250981621,0.49950165003926483,True,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,participation_ratio,,claude<gemini<gpt<human,838.5,0.31007898494589153,0.5192144097451851,True,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,819.0,0.3894108073088888,0.5192144097451851,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,strengths,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,635.0,0.959569024925657,0.959569024925657,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,weakness,vendi,q=1,claude<gemini<gpt<human,856.0,0.24560987239630733,0.6294577966235241,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,weakness,participation_ratio,,claude<gemini<gpt<human,770.5,0.5999896055796818,0.6294577966235241,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,weakness,coverage_geometric,k=panel_adaptive,claude<gemini<gpt<human,763.5,0.6294577966235241,0.6294577966235241,False,JT over paired Human-AI differences by model
one_at_a_time,reviews,rephrased,weakness,ripley_excess,r=panel_q01_q50,claude<gemini<gpt<human,786.0,0.532916953727674,0.6294577966235241,False,JT over paired Human-AI differences by model
