group,condition,funding_auc,funding_auc_ci_lo,funding_auc_ci_hi,funding_auc_p_perm,n_funded,n_not_funded,between_proposal_sd,n_props
Human,all,0.7708333333333334,0.4791666666666667,1.0,0.0888911108889111,8,6,0.6200506104043115,14
AI,baseline,0.503968253968254,0.24603174603174602,0.746031746031746,0.9898010198980102,14,9,0.3642813778744936,23
AI,one_at_a_time,0.4722222222222222,0.21825396825396826,0.7222222222222222,0.8389161083891611,14,9,0.5445300319021811,23
AI,persona,0.503968253968254,0.24603174603174602,0.7619047619047619,0.988001199880012,14,9,0.5220983977513846,23
