panel,condition,variant,auc,ci_lo,ci_hi,p_perm,n_props,panel_size
Human,all,"C. matched (own 1-4 reviews, 14 props)",0.7708333333333334,0.4791666666666667,1.0,0.0888911108889111,14,3.142857142857143
AI pooled,baseline,"A. as published (15 reviews, all 23 props)",0.503968253968254,0.24603174603174602,0.746031746031746,0.9898010198980102,23,15.0
AI pooled,baseline,"B. proposal-matched (15 reviews, 14 props)",0.5104166666666666,0.1875,0.8125,0.9772022797720228,14,15.0
AI pooled,baseline,"C. fully matched (exact-n, 14 props)",0.4972083333333333,0.125,0.8648437499999986,0.9730134932533733,14,3.142857142857143
AI claude,baseline,"C. fully matched (exact-n, 14 props)",0.42902083333333335,0.14583333333333334,0.7291666666666666,0.6446776611694153,14,3.142857142857143
AI gemini,baseline,"C. fully matched (exact-n, 14 props)",0.5083177083333333,0.18723958333333335,0.8333333333333334,0.974512743628186,14,3.142857142857143
AI gpt,baseline,"C. fully matched (exact-n, 14 props)",0.5813802083333333,0.22916666666666666,0.90625,0.6251874062968515,14,3.142857142857143
AI pooled,one_at_a_time,"A. as published (15 reviews, all 23 props)",0.4722222222222222,0.21825396825396826,0.7222222222222222,0.8389161083891611,23,15.0
AI pooled,one_at_a_time,"B. proposal-matched (15 reviews, 14 props)",0.4166666666666667,0.08333333333333333,0.75,0.6351364863513649,14,15.0
AI pooled,one_at_a_time,"C. fully matched (exact-n, 14 props)",0.4487083333333333,0.10416666666666667,0.78125,0.782608695652174,14,3.142857142857143
AI claude,one_at_a_time,"C. fully matched (exact-n, 14 props)",0.43279166666666663,0.17708333333333334,0.71875,0.6331834082958521,14,3.142857142857143
AI gemini,one_at_a_time,"C. fully matched (exact-n, 14 props)",0.4950729166666667,0.17708333333333334,0.8125,0.974512743628186,14,3.142857142857143
AI gpt,one_at_a_time,"C. fully matched (exact-n, 14 props)",0.456484375,0.16666666666666666,0.7606770833333318,0.7876061969015492,14,3.142857142857143
AI pooled,persona,"A. as published (15 reviews, all 23 props)",0.503968253968254,0.24603174603174602,0.7619047619047619,0.988001199880012,23,15.0
AI pooled,persona,"B. proposal-matched (15 reviews, 14 props)",0.4583333333333333,0.14583333333333334,0.7916666666666666,0.8332166783321668,14,15.0
AI pooled,persona,"C. fully matched (exact-n, 14 props)",0.5032447916666666,0.16666666666666666,0.8333333333333334,0.9720139930034982,14,3.142857142857143
AI claude,persona,"C. fully matched (exact-n, 14 props)",0.5330729166666667,0.1875,0.8541666666666666,0.8285857071464268,14,3.142857142857143
AI gemini,persona,"C. fully matched (exact-n, 14 props)",0.52325,0.25,0.8333333333333334,0.8435782108945528,14,3.142857142857143
AI gpt,persona,"C. fully matched (exact-n, 14 props)",0.481875,0.15625,0.8333333333333334,0.9270364817591205,14,3.142857142857143
