condition,polarity,comparison,matching,threshold,stat,value
baseline,weakness,human_vs_pooled_ai,full_ai_reservoir,0.09412446994821766,n_ai_claims,678.0
baseline,weakness,human_vs_claude,exact_n,0.09412446994821766,human_unique_rate,0.5526255707762557
baseline,weakness,human_vs_claude,exact_n,0.09412446994821766,ai_unique_rate,0.5657534246575342
baseline,weakness,human_vs_claude,exact_n,0.09412446994821766,human_to_ai_median,0.0962977505144194
baseline,weakness,human_vs_claude,exact_n,0.09412446994821766,ai_to_human_median,0.09786352268305272
baseline,weakness,human_vs_claude,exact_n,0.09412446994821766,n_human_claims,6.609589041095891
baseline,weakness,human_vs_claude,exact_n,0.09412446994821766,n_ai_claims,6.917808219178082
baseline,weakness,human_vs_claude,exact_n,0.09412446994821766,n_panels,146.0
baseline,weakness,human_vs_claude,full_ai_reservoir,0.09412446994821766,human_unique_rate,0.44171779141104295
baseline,weakness,human_vs_claude,full_ai_reservoir,0.09412446994821766,ai_unique_rate,0.5478260869565217
baseline,weakness,human_vs_claude,full_ai_reservoir,0.09412446994821766,human_to_ai_median,0.09223034630958482
baseline,weakness,human_vs_claude,full_ai_reservoir,0.09412446994821766,ai_to_human_median,0.0972458288263729
baseline,weakness,human_vs_claude,full_ai_reservoir,0.09412446994821766,n_human_claims,163.0
baseline,weakness,human_vs_claude,full_ai_reservoir,0.09412446994821766,n_ai_claims,230.0
baseline,weakness,human_vs_gemini,exact_n,0.09412446994821766,human_unique_rate,0.6472928897586432
baseline,weakness,human_vs_gemini,exact_n,0.09412446994821766,ai_unique_rate,0.6919194390084801
baseline,weakness,human_vs_gemini,exact_n,0.09412446994821766,human_to_ai_median,0.10128545198021681
baseline,weakness,human_vs_gemini,exact_n,0.09412446994821766,ai_to_human_median,0.10559417428578824
baseline,weakness,human_vs_gemini,exact_n,0.09412446994821766,n_human_claims,6.609589041095891
baseline,weakness,human_vs_gemini,exact_n,0.09412446994821766,n_ai_claims,6.561643835616438
baseline,weakness,human_vs_gemini,exact_n,0.09412446994821766,n_panels,146.0
baseline,weakness,human_vs_gemini,full_ai_reservoir,0.09412446994821766,human_unique_rate,0.5337423312883436
baseline,weakness,human_vs_gemini,full_ai_reservoir,0.09412446994821766,ai_unique_rate,0.6651376146788991
baseline,weakness,human_vs_gemini,full_ai_reservoir,0.09412446994821766,human_to_ai_median,0.09525075721251708
baseline,weakness,human_vs_gemini,full_ai_reservoir,0.09412446994821766,ai_to_human_median,0.10221002111106808
baseline,weakness,human_vs_gemini,full_ai_reservoir,0.09412446994821766,n_human_claims,163.0
baseline,weakness,human_vs_gemini,full_ai_reservoir,0.09412446994821766,n_ai_claims,218.0
baseline,weakness,human_vs_gpt,exact_n,0.09412446994821766,human_unique_rate,0.4581784083496413
baseline,weakness,human_vs_gpt,exact_n,0.09412446994821766,ai_unique_rate,0.4328767123287671
baseline,weakness,human_vs_gpt,exact_n,0.09412446994821766,human_to_ai_median,0.09161335349576115
baseline,weakness,human_vs_gpt,exact_n,0.09412446994821766,ai_to_human_median,0.09155509904436959
baseline,weakness,human_vs_gpt,exact_n,0.09412446994821766,n_human_claims,6.609589041095891
baseline,weakness,human_vs_gpt,exact_n,0.09412446994821766,n_ai_claims,6.917808219178082
baseline,weakness,human_vs_gpt,exact_n,0.09412446994821766,n_panels,146.0
baseline,weakness,human_vs_gpt,full_ai_reservoir,0.09412446994821766,human_unique_rate,0.3558282208588957
baseline,weakness,human_vs_gpt,full_ai_reservoir,0.09412446994821766,ai_unique_rate,0.41304347826086957
baseline,weakness,human_vs_gpt,full_ai_reservoir,0.09412446994821766,human_to_ai_median,0.08768133016501722
baseline,weakness,human_vs_gpt,full_ai_reservoir,0.09412446994821766,ai_to_human_median,0.09013219896135816
baseline,weakness,human_vs_gpt,full_ai_reservoir,0.09412446994821766,n_human_claims,163.0
baseline,weakness,human_vs_gpt,full_ai_reservoir,0.09412446994821766,n_ai_claims,230.0
one_at_a_time,strength,human_vs_pooled_ai,exact_n,0.08439018204838578,human_unique_rate,0.4969866814650389
one_at_a_time,strength,human_vs_pooled_ai,exact_n,0.08439018204838578,ai_unique_rate,0.42179985201627823
one_at_a_time,strength,human_vs_pooled_ai,exact_n,0.08439018204838578,human_to_ai_median,0.08513984084187984
one_at_a_time,strength,human_vs_pooled_ai,exact_n,0.08439018204838578,ai_to_human_median,0.08112748344614693
one_at_a_time,strength,human_vs_pooled_ai,exact_n,0.08439018204838578,n_human_claims,7.462819089900111
one_at_a_time,strength,human_vs_pooled_ai,exact_n,0.08439018204838578,n_ai_claims,7.462819089900111
one_at_a_time,strength,human_vs_pooled_ai,exact_n,0.08439018204838578,n_panels,4505.0
one_at_a_time,strength,human_vs_pooled_ai,full_ai_reservoir,0.08439018204838578,human_unique_rate,0.27058823529411763
one_at_a_time,strength,human_vs_pooled_ai,full_ai_reservoir,0.08439018204838578,ai_unique_rate,0.4289855072463768
one_at_a_time,strength,human_vs_pooled_ai,full_ai_reservoir,0.08439018204838578,human_to_ai_median,0.07366731093488921
one_at_a_time,strength,human_vs_pooled_ai,full_ai_reservoir,0.08439018204838578,ai_to_human_median,0.08096212513810291
one_at_a_time,strength,human_vs_pooled_ai,full_ai_reservoir,0.08439018204838578,n_human_claims,170.0
one_at_a_time,strength,human_vs_pooled_ai,full_ai_reservoir,0.08439018204838578,n_ai_claims,690.0
one_at_a_time,strength,human_vs_claude,exact_n,0.08439018204838578,human_unique_rate,0.5343607305936073
one_at_a_time,strength,human_vs_claude,exact_n,0.08439018204838578,ai_unique_rate,0.4623287671232877
one_at_a_time,strength,human_vs_claude,exact_n,0.08439018204838578,human_to_ai_median,0.08533437116025545
one_at_a_time,strength,human_vs_claude,exact_n,0.08439018204838578,ai_to_human_median,0.08224604146719747
one_at_a_time,strength,human_vs_claude,exact_n,0.08439018204838578,n_human_claims,6.917808219178082
one_at_a_time,strength,human_vs_claude,exact_n,0.08439018204838578,n_ai_claims,6.917808219178082
one_at_a_time,strength,human_vs_claude,exact_n,0.08439018204838578,n_panels,146.0
one_at_a_time,strength,human_vs_claude,full_ai_reservoir,0.08439018204838578,human_unique_rate,0.47058823529411764
one_at_a_time,strength,human_vs_claude,full_ai_reservoir,0.08439018204838578,ai_unique_rate,0.44782608695652176
one_at_a_time,strength,human_vs_claude,full_ai_reservoir,0.08439018204838578,human_to_ai_median,0.0829998771389282
one_at_a_time,strength,human_vs_claude,full_ai_reservoir,0.08439018204838578,ai_to_human_median,0.08270813733428767
one_at_a_time,strength,human_vs_claude,full_ai_reservoir,0.08439018204838578,n_human_claims,170.0
one_at_a_time,strength,human_vs_claude,full_ai_reservoir,0.08439018204838578,n_ai_claims,230.0
one_at_a_time,strength,human_vs_gemini,exact_n,0.08439018204838578,human_unique_rate,0.5526826484018265
one_at_a_time,strength,human_vs_gemini,exact_n,0.08439018204838578,ai_unique_rate,0.5034246575342466
one_at_a_time,strength,human_vs_gemini,exact_n,0.08439018204838578,human_to_ai_median,0.08779492604448151
one_at_a_time,strength,human_vs_gemini,exact_n,0.08439018204838578,ai_to_human_median,0.08470391377312303
one_at_a_time,strength,human_vs_gemini,exact_n,0.08439018204838578,n_human_claims,6.917808219178082
one_at_a_time,strength,human_vs_gemini,exact_n,0.08439018204838578,n_ai_claims,6.917808219178082
one_at_a_time,strength,human_vs_gemini,exact_n,0.08439018204838578,n_panels,146.0
one_at_a_time,strength,human_vs_gemini,full_ai_reservoir,0.08439018204838578,human_unique_rate,0.4470588235294118
one_at_a_time,strength,human_vs_gemini,full_ai_reservoir,0.08439018204838578,ai_unique_rate,0.4782608695652174
one_at_a_time,strength,human_vs_gemini,full_ai_reservoir,0.08439018204838578,human_to_ai_median,0.0817272325702394
one_at_a_time,strength,human_vs_gemini,full_ai_reservoir,0.08439018204838578,ai_to_human_median,0.08326220940665618
one_at_a_time,strength,human_vs_gemini,full_ai_reservoir,0.08439018204838578,n_human_claims,170.0
one_at_a_time,strength,human_vs_gemini,full_ai_reservoir,0.08439018204838578,n_ai_claims,230.0
one_at_a_time,strength,human_vs_gpt,exact_n,0.08439018204838578,human_unique_rate,0.5254566210045662
one_at_a_time,strength,human_vs_gpt,exact_n,0.08439018204838578,ai_unique_rate,0.36027397260273974
one_at_a_time,strength,human_vs_gpt,exact_n,0.08439018204838578,human_to_ai_median,0.08725248766851718
one_at_a_time,strength,human_vs_gpt,exact_n,0.08439018204838578,ai_to_human_median,0.07759661153090455
one_at_a_time,strength,human_vs_gpt,exact_n,0.08439018204838578,n_human_claims,6.917808219178082
one_at_a_time,strength,human_vs_gpt,exact_n,0.08439018204838578,n_ai_claims,6.917808219178082
one_at_a_time,strength,human_vs_gpt,exact_n,0.08439018204838578,n_panels,146.0
one_at_a_time,strength,human_vs_gpt,full_ai_reservoir,0.08439018204838578,human_unique_rate,0.5
