group,n,r,p
Human,23,-0.5757963879807384,0.0040390004067411955
gpt-5.2,23,-0.23895066141689403,0.2721766155197541
gemini-3-pro-preview,23,-0.34772935407749545,0.10398062196739204
claude-opus-4-5,23,-0.35049773849260046,0.10107075956495622
