group,stratum,n,mean_year,median_year
Human,0,18,2022.8,2022.75
Human,1,1,2023.0,2023.0
Human,9,1,2023.5,2023.5
Human,10,1,2021.5,2021.5
Human,12,2,2022.0,2022.0
Claude,0,23,2023.2,2023.5
Gemini,0,23,2023.3,2023.5
GPT-5.2,0,21,2023.9,2024.0
GPT-5.2,1,1,2019.5,2019.5
GPT-5.2,4,1,2021.0,2021.0
