comparison,group1,group2,obs_diff,perm_p_value,perm_p_value_adj_holm
Claude vs Human,Claude,Human,-0.050166763749803,0.6991300869913009,1.0
GPT-5.2 vs Human,GPT-5.2,Human,-0.05137099031710518,0.6332366763323668,1.0
Gemini vs Human,Gemini,Human,-0.10069299851952856,0.48585141485851413,1.0
All AI vs Human,All AI,Human,-0.03532749865228152,0.7641235876412359,1.0
