group,cluster,n_proposals,mean_pairwise_dist
Human,Cluster_A,6,0.24156975746154785
Human,Cluster_B,17,0.05768314003944397
Claude,Cluster_A,2,0.1763530969619751
Claude,Cluster_B,21,0.037542641162872314
Gemini,Cluster_A,1,0.0
Gemini,Cluster_B,22,0.036256205290555954
GPT-5.2,Cluster_A,3,0.15444225072860718
GPT-5.2,Cluster_B,20,0.03831339254975319
