u_stat,p_value_mw,delta,delta_interp,p_value_perm,obs_diff_mean,obs_diff_median,ci_low,ci_high,group,p_value_mw_adj_holm,p_value_perm_adj_holm
153.0,7.886722858810248e-09,-0.8071833648393195,large,9.999000099990002e-05,-0.0619213,-0.06992745,-0.07585775554180145,-0.046196005120873455,All AI,3.154689143524099e-08,0.00039996000399960006
64.0,1.1136778756115148e-05,-0.7580340264650284,large,9.999000099990002e-05,-0.058977358,-0.07014869,-0.07542060781270266,-0.04023538213223219,claude-opus-4-5,1.1136778756115148e-05,0.00039996000399960006
42.0,1.0762518133050894e-06,-0.8412098298676749,large,9.999000099990002e-05,-0.06649765,-0.07249942,-0.08025046847760678,-0.05134941022843123,gemini-3-pro-preview,3.2287554399152684e-06,0.00039996000399960006
47.0,1.8669990603531791e-06,-0.8223062381852552,large,9.999000099990002e-05,-0.060288854,-0.06670899,-0.07405402418226004,-0.04504639431834221,gpt-5.2,3.7339981207063583e-06,0.00039996000399960006
