group,n_total,mean_lit_nn_dist_k5,n_outliers,outlier_pct,outlier_contribution_pct
Human,23,0.12478690594434738,6,26.08695652173913,60.0
claude-opus-4-5,23,0.08638234436511993,0,0.0,0.0
gemini-3-pro-preview,23,0.09599761664867401,2,8.695652173913043,20.0
gpt-5.2,23,0.1051117405295372,2,8.695652173913043,20.0
All AI (combined),69,0.09583056718111038,4,5.797101449275362,40.0
