group,n,remote_clique,upper_tri_mean,upper_tri_median,upper_tri_sd,proposal_mean_pairwise_mean,proposal_mean_pairwise_median,proposal_mean_pairwise_sd,proposal_mean_pairwise_iqr
Human,23,0.326285865897267,0.3411170542240143,0.07535284757614136,0.3262263238430023,0.34111704161987,0.24288100816986777,0.16697519321647591,0.19177964600649744
Claude,23,0.14563455676311357,0.15225431323051453,0.03963190317153931,0.25625282526016235,0.1522543093432551,0.09940848025408658,0.1694062238502037,0.007783402096141465
GPT-5.2,23,0.19104075612102428,0.19972442090511322,0.04129844903945923,0.28679826855659485,0.19972442685379813,0.13006559014320374,0.17931129902006612,0.00569302385503595
Gemini,23,0.0935894615934116,0.09784352779388428,0.036832571029663086,0.1996910572052002,0.09784352802947573,0.06866413083943454,0.13791449793354052,0.006095920096744187
All AI,69,0.1487705039517315,0.15095831453800201,0.04198792576789856,0.2514658272266388,0.15095830548043346,0.10087430564796224,0.16386274464522188,0.006716748370843781
