lda_topic_display,"Cluster_A: mass spectrometry, 3d genome function, adaptation mitochondrial reticular, analysis bacterial organelles","Cluster_B: data understand, decoding emergent, integrating structural, multi scale"
"Topic_1: functional data, integrating structural, emergent properties, multi scale",6,40
"Topic_2: protein interaction, decoding emergent, single cell, synthesizing emergent",6,40
