group,n_proposals,breadth_gt5pct,shannon_entropy,dominant_topic_frac,topic_0_weight,topic_1_weight,topic_2_weight,topic_3_weight,topic_4_weight,topic_5_weight,topic_6_weight,topic_7_weight,topic_8_weight,topic_9_weight,topic_10_weight,topic_11_weight,topic_12_weight,topic_13_weight,topic_14_weight
Human,23,3,1.6159,0.6043,0.6043,0.0457,0.0217,0.0109,0.05,0.0065,0.0348,0.0087,0.0022,0.0565,0.0435,0.0304,0.0587,0.0109,0.0152
Claude,23,1,0.2131,0.9609,0.9609,0.0,0.0,0.0217,0.0022,0.0,0.0087,0.0,0.0,0.0043,0.0,0.0,0.0022,0.0,0.0
Gemini,23,1,0.4818,0.9109,0.9109,0.0174,0.0022,0.0087,0.0196,0.0043,0.0043,0.0,0.0,0.0109,0.0,0.0109,0.0109,0.0,0.0
GPT-5.2,23,1,0.9056,0.8087,0.8087,0.0261,0.0217,0.013,0.037,0.0065,0.0109,0.0,0.0,0.0348,0.0065,0.0261,0.0043,0.0022,0.0022
