group,n,mst_dispersion,mst_boot_mean,mst_boot_ci_low,mst_boot_ci_high
Human,23,0.11258743026039818,0.11711427862481637,0.09281443831595508,0.14485786218534813
claude-opus-4-5,23,0.02413698759945956,0.025106565975601024,0.023442092063752085,0.027206421508030456
gemini-3-pro-preview,23,0.06434879790652882,0.07002018260739067,0.024333740161223846,0.12388413230126553
gpt-5.2,23,0.07325560938228261,0.0763715938611464,0.06159979389472441,0.09355749095028097
All AI,69,0.042712128337691814,0.04425027144375969,0.03756235371179441,0.05262276609154307
