group,n,nn_from_human,nn_from_same_group,nn_from_other_ai
Human,23,7,7,
claude-opus-4-5,23,1,19,3.0
gemini-3-pro-preview,23,1,13,9.0
gpt-5.2,23,7,11,5.0
All AI,69,9,60,
