comparison,group1,group2,obs_diff,perm_p_value,perm_p_value_adj_holm
claude-opus-4-5 vs Human,claude-opus-4-5,Human,-0.08845044266093861,9.999000099990002e-05,0.00039996000399960006
gemini-3-pro-preview vs Human,gemini-3-pro-preview,Human,-0.048238632353869354,0.0035996400359964,0.0071992800719928
gpt-5.2 vs Human,gpt-5.2,Human,-0.03933182087811557,0.0108989101089891,0.0108989101089891
All AI vs Human,All AI,Human,-0.06987530192270636,9.999000099990002e-05,0.00039996000399960006
