lda_topic,0,1,2,3,4,5,6,7,8,9,10,11
0,352,926,120,194,402,254,336,279,113,42,83,104
1,647,7,735,433,305,303,236,250,12,4,233,12
2,213,97,465,240,159,120,139,146,13,19,67,10
3,207,224,327,201,141,136,115,126,43,19,163,22
4,494,1440,297,478,544,316,452,239,137,44,216,13
5,404,38,633,394,279,229,158,242,162,34,300,99
6,273,645,141,181,343,213,160,349,394,236,216,11
7,307,3,4,128,116,131,98,152,747,27,87,6
8,183,8,18,87,93,95,101,63,113,493,66,10
9,309,416,112,337,296,145,199,187,18,2,84,7
10,476,73,610,394,254,302,275,103,24,23,133,74
11,284,287,46,193,144,206,166,200,420,238,87,100
12,627,291,460,270,296,342,424,195,188,108,124,252
13,291,15,228,154,113,224,142,115,230,467,141,1075
14,237,2,3,73,66,97,83,40,0,809,25,7
