group,n,grid_entropy,grid_entropy_normalized,bins,projection_method
Human,23,1.334081918964816,0.4144558509085827,5,PCA-2D
claude-opus-4-5,23,2.412210201431815,0.7493952338253325,5,PCA-2D
gemini-3-pro-preview,23,0.7301668894884847,0.2268390982489615,5,PCA-2D
gpt-5.2,23,0.9208326693554343,0.28607275317715575,5,PCA-2D
All AI,69,1.0685757631139436,0.33197172592319474,5,PCA-2D
