k,cv_perplexity_mean,cv_perplexity_sd,cv_log_likelihood_mean,active_topics,min_dominant_topic_count,max_dominant_topic_frac,dominant_topic_entropy,selected
2,1184.9147478218156,166.62593091341046,-914.8500842677611,2,46,0.5,0.6931471805599453,True
3,1711.774077602155,302.38446830957747,-961.5699884712373,3,26,0.3804347826086957,1.0913397131389582,False
4,2205.1755865726504,375.60322485268455,-994.541616475782,4,20,0.2826086956521739,1.381556170941736,False
5,2636.2428924154046,558.9235052437542,-1016.305537491111,5,13,0.2608695652173913,1.5911868654862689,False
6,3100.1071326984,755.1247020134465,-1036.1784833035906,6,10,0.22826086956521738,1.7676529927430429,False
7,3494.5891454665702,737.5287708895199,-1052.640256906631,7,9,0.17391304347826086,1.9325324958048533,False
8,3915.4058190435476,683.751631610914,-1068.7131185411806,8,6,0.17391304347826086,2.0405696817811627,False
