group,n,mean,median,sd,var
Human,23,0.2925972640514374,0.06818974018096924,0.2527448534965515,0.06387996673583984
Claude,23,0.04004408419132233,0.04084283113479614,0.004898555111140013,2.399584263912402e-05
GPT-5.2,23,0.17040623724460602,0.04301673173904419,0.21979942917823792,0.04831178858876228
Gemini,23,0.08685185760259628,0.042073726654052734,0.14369474351406097,0.020648179575800896
All AI,69,0.09910072386264801,0.04136955738067627,0.16094115376472473,0.025902053341269493
