group,n_total,mean_lit_nn_dist_k10,n_outliers,outlier_pct,outlier_contribution_pct
Human,23,0.13739264011383057,9,39.130434782608695,90.0
claude-opus-4-5,23,0.07841528207063675,1,4.3478260869565215,10.0
gemini-3-pro-preview,23,0.0708949863910675,0,0.0,0.0
gpt-5.2,23,0.07710378617048264,0,0.0,0.0
All AI (combined),69,0.07547134160995483,1,1.4492753623188406,10.0
