group,n_proposals,breadth_gt5pct,shannon_entropy,effective_region_count,dominant_region_frac,hhi_concentration,mean_unassigned_neighbor_frac,region_0_weight,region_1_weight,region_2_weight,region_3_weight,region_4_weight,region_5_weight,region_6_weight,region_7_weight,region_8_weight,region_9_weight,region_10_weight,region_11_weight
Human,23,4,1.2807,3.5991,0.4804,0.3587,0.0,0.3457,0.4804,0.0065,0.0522,0.0,0.0696,0.0,0.0109,0.0217,0.0,0.0,0.013
Claude,23,4,1.0942,2.9867,0.5652,0.4029,0.0,0.2587,0.5652,0.0,0.0652,0.0,0.1109,0.0,0.0,0.0,0.0,0.0,0.0
Gemini,23,2,0.9029,2.4668,0.6522,0.5026,0.0,0.2739,0.6522,0.0,0.0413,0.0,0.0217,0.0,0.0087,0.0,0.0,0.0022,0.0
GPT-5.2,23,3,0.8833,2.4189,0.6717,0.5137,0.0,0.2413,0.6717,0.0239,0.0609,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0
