group,gmm_cluster,count,fraction
Human,0,5,0.21739130434782608
Human,1,11,0.4782608695652174
Human,2,7,0.30434782608695654
Claude,0,12,0.5217391304347826
Claude,1,0,0.0
Claude,2,11,0.4782608695652174
Gemini,0,3,0.13043478260869565
Gemini,1,2,0.08695652173913043
Gemini,2,18,0.782608695652174
GPT-5.2,0,2,0.08695652173913043
GPT-5.2,1,6,0.2608695652173913
GPT-5.2,2,15,0.6521739130434783
