group,cluster_pair,n_a,n_b,mean_cross_dist
Human,Cluster_A↔Cluster_B,6,17,0.7336680889129639
Claude,Cluster_A↔Cluster_B,2,21,0.7252389192581177
Gemini,Cluster_A↔Cluster_B,1,22,0.7445104122161865
GPT-5.2,Cluster_A↔Cluster_B,3,20,0.7131235003471375
