group,n,centroid_mean_raw,centroid_median_raw,centroid_sd_raw,centroid_var_raw,centroid_mean_loo,centroid_median_loo,centroid_sd_loo,span_90
Human,23,0.24082961188617555,0.2030219479266293,0.06063058374824658,0.003676067685653142,0.2664968640178433,0.22542374086299777,0.06607679211201573,0.31370653770916157
claude-opus-4-5,23,0.016253474809219216,0.015144946552158256,0.0036225845318221296,1.312311869019696e-05,0.017776368105016836,0.016565540678625812,0.0039584968573112165,0.021408819349789356
gemini-3-pro-preview,23,0.07475186787607944,0.02032962544506023,0.17914773279666923,0.0320939101661868,0.08021409284612427,0.022359817210855337,0.1905289145330692,0.027462074926708803
gpt-5.2,23,0.16400236905444973,0.05836644537410984,0.18169323301821047,0.033012430924609724,0.1786833042555357,0.06472224406531368,0.196087024493914,0.4673073085281226
All AI,69,0.09443103344981393,0.02590948235374224,0.19140987860797984,0.036637741628721576,0.09675565975678575,0.026747592725425373,0.19557963623986938,0.5841145623073619
