group,mean_centroid_distance_to_others,median_centroid_distance_to_others
Human,0.12634995579719543,0.13323688507080078
claude-opus-4-5,0.06620106101036072,0.03438958525657654
gemini-3-pro-preview,0.05005617439746857,0.025241881608963013
gpt-5.2,0.04365774989128113,0.04652148485183716
All AI (combined),0.03941594064235687,0.01627209782600403
