model,n,H,H_norm,topics_covered,dominant_topic
Human,23,0.6897081532765499,0.9950385323927636,2,Topic_1
Claude,23,0.69035512745612,0.9959719188332127,2,Topic_1
Gemini,23,0.6142271619669165,0.8861424805489726,2,Topic_2
GPT-5.2,23,0.6813089411275384,0.9829210306780104,2,Topic_1
