condition,analysis_family,metric,test,human_n,ai_subsample_n,ai_pool_n,n_boot,human_value,ai_boot_mean,ai_boot_ci_low,ai_boot_ci_high,effect_human_minus_ai_boot_mean,effect_ci_low,effect_ci_high,bootstrap_p_value_directional
persona,pooled_human_vs_allai_matrix_same_n_bootstrap,mean_pairwise_distance,same-size AI bootstrap,23,23,69,1000,0.41556957364082336,0.2836034418605268,0.15655188038945198,0.38709788396954536,0.13196613178029656,0.028471689671278,0.25901769325137136,0.004
persona,pooled_human_vs_allai_matrix_same_n_bootstrap,nearest_neighbor_distance,same-size AI bootstrap,23,23,69,1000,0.08198250376659891,0.061135570751584094,0.04417048751012139,0.07798932434424108,0.020846933015014814,0.003993179422357811,0.03781201625647752,0.012
persona,pooled_human_vs_allai_matrix_same_n_bootstrap,grid_entropy,same-size AI bootstrap,23,23,69,1000,1.574331785544523,1.466408519483809,1.214295263080721,1.5821930667351332,0.1079232660607141,-0.007861281190610248,0.3600365224638018,0.126
persona,pooled_human_vs_allai_matrix_same_n_bootstrap,mst_dispersion,same-size AI bootstrap,23,23,69,1000,0.11007438735528426,0.08666018658605489,0.06770995286377994,0.1053679970177737,0.023414200769229367,0.004706390337510545,0.042364434491504316,0.01
persona,pooled_human_vs_allai_matrix_same_n_bootstrap,global_nn_distance,same-size AI bootstrap,23,23,69,1000,0.07232861415199611,0.04864040320334227,0.033768065208974095,0.06409650159918744,0.02368821094865384,0.008232112552808674,0.038560548943022015,0.0
persona,pooled_human_vs_allai_matrix_same_n_bootstrap,global_mean_5nn_distance,same-size AI bootstrap,23,23,69,1000,0.08387176835018656,0.05796709007128426,0.04135740891746853,0.07545135538215222,0.02590467827890231,0.008420412968034332,0.04251435943271803,0.002
persona,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_element_novelty_k1,same-size AI bootstrap,23,23,69,1000,0.09889993201131406,0.1076983267094778,0.0984467819980953,0.11781218693308208,-0.00879839469816374,-0.01891225492176803,0.00045315001321875284,0.062
persona,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_mean_knn_novelty_k10,same-size AI bootstrap,23,23,69,1000,0.11557918009550673,0.12350815790554749,0.11402705428392992,0.13460550842077834,-0.00792897781004077,-0.019026328325271603,0.0015521258115768057,0.12
persona,pooled_human_vs_allai_external_reference_same_n_bootstrap,literature_local_density_normalized_novelty,same-size AI bootstrap,23,23,69,1000,0.3090983121090865,0.4677264054043119,0.2780462945674366,0.6897413479396103,-0.15862809329522537,-0.3806430358305237,0.03105201754164989,0.12
persona,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_region_entropy,same-size AI bootstrap,23,23,69,1000,0.5811551782805128,0.6253431772270831,0.44999616160358935,0.793681592397234,-0.044187998946570335,-0.2125264141167213,0.1311590166769234,0.584
persona,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_max_region_weight,same-size AI bootstrap,23,23,69,1000,0.8282608695652173,0.8138369565217392,0.7542934782608695,0.8739130434782608,0.014423913043478178,-0.04565217391304355,0.07396739130434779,0.656
persona,pooled_human_vs_allai_external_reference_same_n_bootstrap,bertopic_unique_regions,same-size AI bootstrap,23,23,69,1000,2.0869565217391304,2.145217391304348,1.826086956521739,2.4347826086956523,-0.05826086956521748,-0.34782608695652195,0.26086956521739135,0.802
persona,pooled_human_vs_allai_external_reference_same_n_bootstrap,mesh_unique_terms_k20,same-size AI bootstrap,23,23,69,1000,86.47826086956522,96.56808695652174,88.82173913043478,105.00652173913043,-10.08982608695652,-18.528260869565216,-2.343478260869564,0.02
persona,pooled_human_vs_allai_mesh_union,mesh_group_union_terms,same-size AI bootstrap,23,23,69,1000,871.0,930.493,833.975,1027.05,-59.493,-156.05,37.02499999999998,0.242
