condition,metric,sample_index,ai_boot_value,human_value,effect_human_minus_ai
persona,mesh_group_union_terms,0,869.0,871.0,2.0
persona,mesh_group_union_terms,1,1007.0,871.0,-136.0
persona,mesh_group_union_terms,2,989.0,871.0,-118.0
persona,mesh_group_union_terms,3,997.0,871.0,-126.0
persona,mesh_group_union_terms,4,937.0,871.0,-66.0
persona,mesh_group_union_terms,5,1017.0,871.0,-146.0
persona,mesh_group_union_terms,6,894.0,871.0,-23.0
persona,mesh_group_union_terms,7,942.0,871.0,-71.0
persona,mesh_group_union_terms,8,823.0,871.0,48.0
persona,mesh_group_union_terms,9,902.0,871.0,-31.0
persona,mesh_group_union_terms,10,901.0,871.0,-30.0
persona,mesh_group_union_terms,11,928.0,871.0,-57.0
persona,mesh_group_union_terms,12,1007.0,871.0,-136.0
persona,mesh_group_union_terms,13,896.0,871.0,-25.0
persona,mesh_group_union_terms,14,863.0,871.0,8.0
persona,mesh_group_union_terms,15,901.0,871.0,-30.0
persona,mesh_group_union_terms,16,933.0,871.0,-62.0
persona,mesh_group_union_terms,17,937.0,871.0,-66.0
persona,mesh_group_union_terms,18,948.0,871.0,-77.0
persona,mesh_group_union_terms,19,942.0,871.0,-71.0
persona,mesh_group_union_terms,20,901.0,871.0,-30.0
persona,mesh_group_union_terms,21,916.0,871.0,-45.0
persona,mesh_group_union_terms,22,897.0,871.0,-26.0
persona,mesh_group_union_terms,23,922.0,871.0,-51.0
persona,mesh_group_union_terms,24,973.0,871.0,-102.0
persona,mesh_group_union_terms,25,898.0,871.0,-27.0
persona,mesh_group_union_terms,26,970.0,871.0,-99.0
persona,mesh_group_union_terms,27,942.0,871.0,-71.0
persona,mesh_group_union_terms,28,948.0,871.0,-77.0
persona,mesh_group_union_terms,29,914.0,871.0,-43.0
persona,mesh_group_union_terms,30,888.0,871.0,-17.0
persona,mesh_group_union_terms,31,859.0,871.0,12.0
persona,mesh_group_union_terms,32,943.0,871.0,-72.0
persona,mesh_group_union_terms,33,972.0,871.0,-101.0
persona,mesh_group_union_terms,34,832.0,871.0,39.0
persona,mesh_group_union_terms,35,922.0,871.0,-51.0
persona,mesh_group_union_terms,36,1001.0,871.0,-130.0
persona,mesh_group_union_terms,37,929.0,871.0,-58.0
persona,mesh_group_union_terms,38,940.0,871.0,-69.0
persona,mesh_group_union_terms,39,940.0,871.0,-69.0
persona,mesh_group_union_terms,40,1004.0,871.0,-133.0
persona,mesh_group_union_terms,41,882.0,871.0,-11.0
persona,mesh_group_union_terms,42,962.0,871.0,-91.0
persona,mesh_group_union_terms,43,883.0,871.0,-12.0
persona,mesh_group_union_terms,44,915.0,871.0,-44.0
persona,mesh_group_union_terms,45,886.0,871.0,-15.0
persona,mesh_group_union_terms,46,869.0,871.0,2.0
persona,mesh_group_union_terms,47,952.0,871.0,-81.0
persona,mesh_group_union_terms,48,1012.0,871.0,-141.0
persona,mesh_group_union_terms,49,866.0,871.0,5.0
persona,mesh_group_union_terms,50,924.0,871.0,-53.0
persona,mesh_group_union_terms,51,994.0,871.0,-123.0
persona,mesh_group_union_terms,52,951.0,871.0,-80.0
persona,mesh_group_union_terms,53,893.0,871.0,-22.0
persona,mesh_group_union_terms,54,930.0,871.0,-59.0
persona,mesh_group_union_terms,55,943.0,871.0,-72.0
persona,mesh_group_union_terms,56,976.0,871.0,-105.0
persona,mesh_group_union_terms,57,837.0,871.0,34.0
persona,mesh_group_union_terms,58,893.0,871.0,-22.0
persona,mesh_group_union_terms,59,838.0,871.0,33.0
persona,mesh_group_union_terms,60,989.0,871.0,-118.0
persona,mesh_group_union_terms,61,962.0,871.0,-91.0
persona,mesh_group_union_terms,62,965.0,871.0,-94.0
persona,mesh_group_union_terms,63,913.0,871.0,-42.0
persona,mesh_group_union_terms,64,946.0,871.0,-75.0
persona,mesh_group_union_terms,65,937.0,871.0,-66.0
persona,mesh_group_union_terms,66,953.0,871.0,-82.0
persona,mesh_group_union_terms,67,949.0,871.0,-78.0
persona,mesh_group_union_terms,68,980.0,871.0,-109.0
persona,mesh_group_union_terms,69,958.0,871.0,-87.0
persona,mesh_group_union_terms,70,905.0,871.0,-34.0
persona,mesh_group_union_terms,71,974.0,871.0,-103.0
persona,mesh_group_union_terms,72,978.0,871.0,-107.0
persona,mesh_group_union_terms,73,948.0,871.0,-77.0
persona,mesh_group_union_terms,74,966.0,871.0,-95.0
persona,mesh_group_union_terms,75,889.0,871.0,-18.0
persona,mesh_group_union_terms,76,960.0,871.0,-89.0
persona,mesh_group_union_terms,77,976.0,871.0,-105.0
persona,mesh_group_union_terms,78,990.0,871.0,-119.0
