metric,effect_human_minus_group,permutation_p_value,inference_primary,condition,human_value,ai_boot_mean,ai_boot_sd
mean_pairwise_distance,0.14924470055364758,0.049095090490950906,permutation,one_at_a_time,0.4155696277090683,0.26770628219348175,0.06146289235110273
nearest_neighbor_distance,0.0515234591304392,0.00029997000299970003,permutation,one_at_a_time,0.08198253486467444,0.03774724238592646,0.005577731032452993
grid_entropy,-0.843494972333763,0.016298370162983702,permutation,one_at_a_time,2.9424955222917832,3.4219009971693177,0.15768597567427856
mst_dispersion,0.06984517257162592,0.00029997000299970003,permutation,one_at_a_time,0.1100744063203985,0.06470913986726241,0.006204241591315127
