,mean_pairwise_distance,nearest_neighbor_distance,author_group_mean_pairwise_distance,author_group_nearest_neighbor_distance,global_nn_distance,global_mean_5nn_distance,literature_element_novelty_k1,literature_mean_knn_novelty_k10,literature_local_density_normalized_novelty,bertopic_region_entropy,bertopic_max_region_weight,bertopic_unique_regions,mesh_unique_terms_k20
mean_pairwise_distance,1.0,0.8027168315060409,0.9701146916196337,0.8252557360855569,0.8195625859237236,0.8889029756292908,-0.040046722243469966,0.009522639971597547,0.009522639971597633,0.173238221094422,-0.18329540841870504,0.13568253071498113,-0.12294274576205375
nearest_neighbor_distance,0.8027168315060409,1.0,0.7860762103934931,0.9590858254477357,0.9907117832542285,0.9656941680310266,-0.05711271056432938,-0.04242965441549717,-0.04242965441549715,0.1784384598752176,-0.15374803262618858,0.17590802202909245,-0.13449385890585064
author_group_mean_pairwise_distance,0.9701146916196337,0.7860762103934931,1.0,0.8225447924770648,0.8024685882542094,0.8688125585674398,-0.05820885430425634,0.0020503952403502818,0.0020503952403503702,0.17488139929541252,-0.19192139048533838,0.12161633580461387,-0.09758385139585246
author_group_nearest_neighbor_distance,0.8252557360855569,0.9590858254477357,0.8225447924770648,1.0,0.9589631251494609,0.9591969695336462,-0.08805025454627997,-0.06190798389207868,-0.0619079838920786,0.1537791992688268,-0.1366402801375883,0.14045463726311128,-0.15693469140658503
global_nn_distance,0.8195625859237236,0.9907117832542285,0.8024685882542094,0.9589631251494609,1.0,0.9797654373300557,-0.050277006701458814,-0.0335439985476928,-0.03354399854769272,0.19020974450165617,-0.1696805266676423,0.18060276139494136,-0.1251631699999638
global_mean_5nn_distance,0.8889029756292908,0.9656941680310266,0.8688125585674398,0.9591969695336462,0.9797654373300557,1.0,-0.044970703023264655,-0.02037609590415426,-0.02037609590415419,0.19278722350430844,-0.17826545149682185,0.17316807231930875,-0.1147525745071693
literature_element_novelty_k1,-0.040046722243469966,-0.05711271056432938,-0.05820885430425634,-0.08805025454627997,-0.050277006701458814,-0.044970703023264655,1.0,0.9231843797227556,0.9231843797227556,0.4538875893035633,-0.36112149288455253,0.5172130206552396,0.5700934168155939
literature_mean_knn_novelty_k10,0.009522639971597547,-0.04242965441549717,0.0020503952403502818,-0.06190798389207868,-0.0335439985476928,-0.02037609590415426,0.9231843797227556,1.0,1.0000000000000004,0.5346166636939498,-0.44953109988939444,0.5765638847413925,0.6006843218631736
literature_local_density_normalized_novelty,0.009522639971597633,-0.04242965441549715,0.0020503952403503702,-0.0619079838920786,-0.03354399854769272,-0.02037609590415419,0.9231843797227556,1.0000000000000004,1.0,0.5346166636939498,-0.4495310998893947,0.5765638847413926,0.6006843218631739
bertopic_region_entropy,0.173238221094422,0.1784384598752176,0.17488139929541252,0.1537791992688268,0.19020974450165617,0.19278722350430844,0.4538875893035633,0.5346166636939498,0.5346166636939498,1.0,-0.9503894353236904,0.9149657470677702,0.39599032439090187
bertopic_max_region_weight,-0.18329540841870504,-0.15374803262618858,-0.19192139048533838,-0.1366402801375883,-0.1696805266676423,-0.17826545149682185,-0.36112149288455253,-0.44953109988939444,-0.4495310998893947,-0.9503894353236904,1.0,-0.7643103211276189,-0.339891899898381
bertopic_unique_regions,0.13568253071498113,0.17590802202909245,0.12161633580461387,0.14045463726311128,0.18060276139494136,0.17316807231930875,0.5172130206552396,0.5765638847413925,0.5765638847413926,0.9149657470677702,-0.7643103211276189,1.0,0.40231936898256293
mesh_unique_terms_k20,-0.12294274576205375,-0.13449385890585064,-0.09758385139585246,-0.15693469140658503,-0.1251631699999638,-0.1147525745071693,0.5700934168155939,0.6006843218631736,0.6006843218631739,0.39599032439090187,-0.339891899898381,0.40231936898256293,1.0
